Column	QuestionID	MultipleChoiceID	QuestionText	MultipleChoiceText
C01	X01		ResponseID	
C02	X02		Country	
C03	X03		Organization	
C04	X04		Telephone	
C05	X05		E-mail	
C06	X06		URL/Web address	
C07	X07		Respondent	
C08	X08		Position	
C09	Q0.1		Answering on behalf of	
C10	Q0.2	a	Awareness of existence UNFPOS	NSO / Chief Statistician
C11	Q0.2	b	Awareness of existence UNFPOS	Heads/Senior managers of other agencies of NSS
C12	Q0.2	c	Awareness of existence UNFPOS	Line ministry / Department to which NSO reports
C13	Q0.3		Extent to which UNFPOS are integrated into the NSS institutional framework	
C14	Q0.4	a	How UNFPOS are communicated to raise awareness at the national level	UNFPOS are mentioned in reports, strategy and policy papers, publications
C15	Q0.4	b	How UNFPOS are communicated to raise awareness at the national level	UNFPOS are discussed in meetings and events, such as the World Statistics Day
C16	Q0.4	c	How UNFPOS are communicated to raise awareness at the national level	None of the above
C17	Q0.4	d	How UNFPOS are communicated to raise awareness at the national level	Does not know 
C18	Q0.4	e	How UNFPOS are communicated to raise awareness at the national level	Other
C19	Q0.4	e+	How UNFPOS are communicated to raise awareness at the national level	Other (detail)
C20	Q1.1	a	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User council or organized user group
C21	Q1.1	b	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User satisfaction surveys
C22	Q1.1	c	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Independent review(s) of key stakeholders' satisfaction
C23	Q1.1	d	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User workshops/ stakeholder coordination meetings 
C24	Q1.1	e	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Website traffic analysis
C25	Q1.1	f	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	None of the above
C26	Q1.1	g	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Does not know 
C27	Q1.1	h	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Other
C28	Q1.1a	a	Mandate of user council or organized user group	Strategic advice on statistical policy and priorities
C29	Q1.1a	b	Mandate of user council or organized user group	Technical advice, in general or on specific statistical programmes and topics
C30	Q1.1a	c	Mandate of user council or organized user group	Coordination of statistical activities
C31	Q1.1a	d	Mandate of user council or organized user group	Other
C32	Q1.1a	e	Mandate of user council or organized user group	Government employees (administrative staff, technical staff)
C33	Q1.1a	f	Mandate of user council or organized user group	Policy-makers (ministers, politicians)
C34	Q1.1b	a	Stakeholders represented in user council or organized user group in the past five years	Workers' unions
C35	Q1.1b	b	Stakeholders represented in user council or organized user group in the past five years	Chamber of commerce or other business networks
C36	Q1.1b	c	Stakeholders represented in user council or organized user group in the past five years	Academia and professional associations (e.g. statistical society)
C37	Q1.1b	d	Stakeholders represented in user council or organized user group in the past five years	Civil society organizations (e.g., NGOs)
C38	Q1.1b	e	Stakeholders represented in user council or organized user group in the past five years	Mass media
C39	Q1.1b	f	Stakeholders represented in user council or organized user group in the past five years	General public
C40	Q1.1b	g	Stakeholders represented in user council or organized user group in the past five years	International organizations, including financial institutions
C41	Q1.1b	h	Stakeholders represented in user council or organized user group in the past five years	Other
C42	Q1.1c		Number of meetings of user council or organized user group held in the past five years	
C43	Q1.2	a	Planning instruments currently being used by the NSS/NSO	Annual or multiannual work programme
C44	Q1.2	b	Planning instruments currently being used by the NSS/NSO	National Strategy for the Development of Statistics (NSDS)
C45	Q1.2	c	Planning instruments currently being used by the NSS/NSO	Sectoral Statistical Plans
C46	Q1.2	d	Planning instruments currently being used by the NSS/NSO	Sub-national Statistical Plans
C47	Q1.2	e	Planning instruments currently being used by the NSS/NSO	None of the above
C48	Q1.2	f	Planning instruments currently being used by the NSS/NSO	Other
C49	Q1.2a	a	Time span of current NSDS	From
C50	Q1.2a	b	Time span of current NSDS	To
C51	Q1.2b		If current NSDS ends in 2018/2019, is the next one currently being designed?	
C52	Q1.2c		If the next NSDS is being designed, when will it be launched?	
C53	Q1.2d		If the next NSDS is not being designed, why?	
C54	Q1.3		How did the NSS decide on statistical plans and budget allocations in the past five years? Who was consulted and who approved the plan?	
C55	Q1.4	a	Measures currently in place for disseminating statistics	Appointment of a specialized unit responsible for dissemination at the NSO
C56	Q1.4	b	Measures currently in place for disseminating statistics	Pursuing a dissemination/communications strategy
C57	Q1.4	c	Measures currently in place for disseminating statistics	Publishing an advanced release calendar, announcing when various statistics will be published
C58	Q1.4	a	Measures currently in place for disseminating statistics	Publishing catalogues of available publications, documents, and other services
C59	Q1.4	b	Measures currently in place for disseminating statistics	Using various dissemination media, such as print publications, online pdf files, etc.
C60	Q1.4	c	Measures currently in place for disseminating statistics	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)
C61	Q1.4	a	Measures currently in place for disseminating statistics	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)
C62	Q1.4	b	Measures currently in place for disseminating statistics	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)
C63	Q1.4	c	Measures currently in place for disseminating statistics	Providing online access to data via APIs
C64	Q1.4	a	Measures currently in place for disseminating statistics	Providing user support via e-mail, written correspondence or telephone
C65	Q1.4	b	Measures currently in place for disseminating statistics	None of the above
C66	Q1.4	c	Measures currently in place for disseminating statistics	Does not know 
C67	Q1.4	a	Measures currently in place for disseminating statistics	Other
C68	Q1.4a		Statistics covered in the calendar	
C69	Q1.4b		Time span of the calendar	
C70	Q1.4c		Frequency of adjustments to the release dates specified in the calendar	
C71	Q1.5		Circumstances under which NSS needed approval to publish statistical information, and from whom, in the last five years	
C72	Q1.6	a	Groups of users given access to statistics prior to their public release in the past five years	Media
C73	Q1.6	b	Groups of users given access to statistics prior to their public release in the past five years	Government departments/policy-makers
C74	Q1.6	a	Groups of users given access to statistics prior to their public release in the past five years	Workers' unions
C75	Q1.6	b	Groups of users given access to statistics prior to their public release in the past five years	Chamber of commerce or other business networks
C76	Q1.6	a	Groups of users given access to statistics prior to their public release in the past five years	International organizations, including IFIs
C77	Q1.6	b	Groups of users given access to statistics prior to their public release in the past five years	None of the above
C78	Q1.6	a	Groups of users given access to statistics prior to their public release in the past five years	Other
C79	Q1.6a		If any user has access to a pre-release, is this publicly identified?	
C80	Q1.6b		Additional details on pre-release	
C81	Q1.7a	a	Conditions for online access to aggregates and/or microdata	For a fee
C82	Q1.7a	b	Conditions for online access to aggregates and/or microdata	After registration on the website
C83	Q1.7a	a	Conditions for online access to aggregates and/or microdata	Under publicly available terms of use
C84	Q1.7a	b	Conditions for online access to aggregates and/or microdata	After signing a licensing agreement
C85	Q1.7a	a	Conditions for online access to aggregates and/or microdata	Other
C86	Q1.7b	a	Conditions for re-distribution of anonymized microdata data and aggregates	For non-commercial purposes
C87	Q1.7b	b	Conditions for re-distribution of anonymized microdata data and aggregates	For commercial purposes
C88	Q1.7b	a	Conditions for re-distribution of anonymized microdata data and aggregates	For a fee
C89	Q1.7b	b	Conditions for re-distribution of anonymized microdata data and aggregates	Under condition of attribution of the source 
C90	Q1.7b	a	Conditions for re-distribution of anonymized microdata data and aggregates	Other
C91	Q1.7c	a	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For non-commercial purposes
C92	Q1.7c	b	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For commercial purposes
C93	Q1.7c	c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For a fee
C94	Q1.7c	d	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	Under condition of attribution of the source
C95	Q1.7c	e	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	Other
C96	Q1.8		Aditional comments on challenges to the implementation of Principle 1	
C97	Q2.1		Chief statistician has direct access to policy-making authorities	
C98	Q2.1a	a	Modalities of communication between chief statistician and policy-making authorities	Meetings with Ministers/deputy Ministers
C99	Q2.1a	b	Modalities of communication between chief statistician and policy-making authorities	Attending Upper/lower house hearings
C100	Q2.1a	c	Modalities of communication between chief statistician and policy-making authorities	Other
C101	Q2.1b		Main reasons/challenges preventing direct access to policy-making authorities by chief statistician	
C102	Q2.2		Existence of clear rules for appointment and dismissal of the head of NSO	
C103	Q2.2a	a	Aspects regulated in rules for appointment and dismissal of the head of NSO	Qualifications
C104	Q2.2a	b	Aspects regulated in rules for appointment and dismissal of the head of NSO	Selection procedure
C105	Q2.2a	c	Aspects regulated in rules for appointment and dismissal of the head of NSO	Length of appointment
C106	Q2.2a	d	Aspects regulated in rules for appointment and dismissal of the head of NSO	Age limit
C107	Q2.2a	e	Aspects regulated in rules for appointment and dismissal of the head of NSO	Limit of terms in office
C108	Q2.2a	f	Aspects regulated in rules for appointment and dismissal of the head of NSO	Reasons for dismissal
C109	Q2.2a	g	Aspects regulated in rules for appointment and dismissal of the head of NSO	None of the above
C110	Q2.2a	h	Aspects regulated in rules for appointment and dismissal of the head of NSO	Other
C111	Q2.3		Inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	
C112	Q2.3a		What was questioned in inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	
C113	Q2.4	a	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By authorizing statistical or methodological councils to take formal decisions on the methodology
C114	Q2.4	b	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By using internationally recommended standards and methods
C115	Q2.4	c	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By fully disclosing the applied methodology(ies)
C116	Q2.4	d	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By publishing revision policy(ies) and other procedural manuals
C117	Q2.4	e	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	Peer or expert reviews from international committees, national committees, professional associations, etc.
C118	Q2.4	f	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)
C119	Q2.4	g	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	None of the above
C120	Q2.4	h	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	Other
C121	Q2.5	a	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO compiles, publishes and promotes the consistent use of standards and classifications
