Column	QuestionID	ResponseID	QuestionText	MultipleChoiceText
C01	X01	R01	ResponseID	
C02	X02	R01	Country	
C03	X03	R01	Organization	
C04	X04	R01	Telephone	
C05	X05	R01	E-mail	
C06	X06	R01	URL/Web address	
C07	X07	R01	Respondent	
C08	X08	R01	Position	
C09	Q00.1	R01	Answering on behalf of	
C10	Q00.2	R01	Awareness of existence UNFPOS	NSO / Chief Statistician
C11	Q00.2	R02	Awareness of existence UNFPOS	Heads/Senior managers of other agencies of NSS
C12	Q00.2	R03	Awareness of existence UNFPOS	Line ministry / Department to which NSO reports
C13	Q00.3	R01	Extent to which UNFPOS are integrated into the NSS institutional framework	Response
C13a	Q00.3	R02	Extent to which UNFPOS are integrated into the NSS institutional framework	Other (detail)
C14	Q00.4	R01	How UNFPOS are communicated to raise awareness at the national level	UNFPOS are mentioned in reports, strategy and policy papers, publications
C15	Q00.4	R02	How UNFPOS are communicated to raise awareness at the national level	UNFPOS are discussed in meetings and events, such as the World Statistics Day
C16	Q00.4	R03	How UNFPOS are communicated to raise awareness at the national level	None of the above
C17	Q00.4	R04	How UNFPOS are communicated to raise awareness at the national level	Does not know 
C18	Q00.4	R05	How UNFPOS are communicated to raise awareness at the national level	Other
C19	Q00.4	R06	How UNFPOS are communicated to raise awareness at the national level	Other (detail)
C20	Q01.1	R01	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User council or organized user group
C21	Q01.1	R02	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User satisfaction surveys
C22	Q01.1	R03	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Independent review(s) of key stakeholders' satisfaction
C23	Q01.1	R04	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User workshops/ stakeholder coordination meetings 
C24	Q01.1	R05	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Website traffic analysis
C25	Q01.1	R06	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	None of the above
C26	Q01.1	R07	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Does not know 
C27	Q01.1	R08	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	Other
C28	Q01.1a	R01	Mandate of user council or organized user group	Strategic advice on statistical policy and priorities
C29	Q01.1a	R02	Mandate of user council or organized user group	Technical advice, in general or on specific statistical programmes and topics
C30	Q01.1a	R03	Mandate of user council or organized user group	Coordination of statistical activities
C31	Q01.1a	R04	Mandate of user council or organized user group	Other
C32	Q01.1b	R01	Stakeholders represented in user council or organized user group in the past five years	Government employees (administrative staff, technical staff)
C33	Q01.1b	R02	Stakeholders represented in user council or organized user group in the past five years	Policy-makers (ministers, politicians)
C34	Q01.1b	R03	Stakeholders represented in user council or organized user group in the past five years	Workers' unions
C35	Q01.1b	R04	Stakeholders represented in user council or organized user group in the past five years	Chamber of commerce or other business networks
C36	Q01.1b	R05	Stakeholders represented in user council or organized user group in the past five years	Academia and professional associations (e.g. statistical society)
C37	Q01.1b	R06	Stakeholders represented in user council or organized user group in the past five years	Civil society organizations (e.g., NGOs)
C38	Q01.1b	R07	Stakeholders represented in user council or organized user group in the past five years	Mass media
C39	Q01.1b	R08	Stakeholders represented in user council or organized user group in the past five years	General public
C40	Q01.1b	R09	Stakeholders represented in user council or organized user group in the past five years	International organizations, including financial institutions
C41	Q01.1b	R10	Stakeholders represented in user council or organized user group in the past five years	Other
C42	Q01.1c	R01	Number of meetings of user council or organized user group held in the past five years	
C43	Q01.2	R01	Planning instruments currently being used by the NSS/NSO	Annual or multiannual work programme
C44	Q01.2	R02	Planning instruments currently being used by the NSS/NSO	National Strategy for the Development of Statistics (NSDS)
C45	Q01.2	R03	Planning instruments currently being used by the NSS/NSO	Sectoral Statistical Plans
C46	Q01.2	R04	Planning instruments currently being used by the NSS/NSO	Sub-national Statistical Plans
C47	Q01.2	R05	Planning instruments currently being used by the NSS/NSO	None of the above
C48	Q01.2	R06	Planning instruments currently being used by the NSS/NSO	Other
C49	Q01.2a	R01	Time span of current NSDS	From
C50	Q01.2a	R02	Time span of current NSDS	To
C51	Q01.2b	R01	NextNSDS	If current NSDS ends in 2018/2019, is the next one currently being designed?
C52	Q01.2b	R02	NextNSDS	If the next NSDS is being designed, when will it be launched?
C53	Q01.2b	R03	NextNSDS	If the next NSDS is not being designed, why?
C54	Q01.3	R01	How did the NSS decide on statistical plans and budget allocations in the past five years? Who was consulted and who approved the plan?	
C55	Q01.4	R01	Measures currently in place for disseminating statistics	Appointment of a specialized unit responsible for dissemination at the NSO
C56	Q01.4	R02	Measures currently in place for disseminating statistics	Pursuing a dissemination/communications strategy
C57	Q01.4	R03	Measures currently in place for disseminating statistics	Publishing an advanced release calendar, announcing when various statistics will be published
C58	Q01.4	R04	Measures currently in place for disseminating statistics	Publishing catalogues of available publications, documents, and other services
C59	Q01.4	R05	Measures currently in place for disseminating statistics	Using various dissemination media, such as print publications, online pdf files, etc.
C60	Q01.4	R06	Measures currently in place for disseminating statistics	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)
C61	Q01.4	R07	Measures currently in place for disseminating statistics	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)
C62	Q01.4	R08	Measures currently in place for disseminating statistics	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)
C63	Q01.4	R09	Measures currently in place for disseminating statistics	Providing online access to data via APIs
C64	Q01.4	R10	Measures currently in place for disseminating statistics	Providing user support via e-mail, written correspondence or telephone
C65	Q01.4	R11	Measures currently in place for disseminating statistics	None of the above
C66	Q01.4	R12	Measures currently in place for disseminating statistics	Does not know 
C67	Q01.4	R13	Measures currently in place for disseminating statistics	Other
C68	Q01.4a	R01	Statistics covered in the calendar	
C69	Q01.4b	R01	Time span of the calendar	
C70	Q01.4c	R01	Frequency of adjustments to the release dates specified in the calendar	
C71	Q01.5	R01	Circumstances under which NSS needed approval to publish statistical information, and from whom, in the last five years	
C72	Q01.6	R01	Groups of users given access to statistics prior to their public release in the past five years	Media
C73	Q01.6	R02	Groups of users given access to statistics prior to their public release in the past five years	Government departments/policy-makers
C74	Q01.6	R03	Groups of users given access to statistics prior to their public release in the past five years	Workers' unions
