QuestionID	QuestionText	Group	Answer	TOTAL
Q00.1	Answering on behalf of		National Statistical Office (NSO)	86
Q00.1	Answering on behalf of		National Statistical System (NSS)	12
Q00.1	Answering on behalf of		Both NSO & NSS	1
Q00.1	Answering on behalf of		Senior Statistician	1
Q00.2	Awareness of existence UNFPOS	NSO / Chief Statistician	Yes	100
Q00.2	Awareness of existence UNFPOS	Heads/Senior managers \\nof other agencies of NSS	Yes	74
Q00.2	Awareness of existence UNFPOS	Heads/Senior managers \\nof other agencies of NSS	N/A	14
Q00.2	Awareness of existence UNFPOS	Heads/Senior managers \\nof other agencies of NSS	No	12
Q00.2	Awareness of existence UNFPOS	Line ministry / Department \\nto which NSO reports	Yes	57
Q00.2	Awareness of existence UNFPOS	Line ministry / Department \\nto which NSO reports	N/A	30
Q00.2	Awareness of existence UNFPOS	Line ministry / Department \\nto which NSO reports	No	13
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework		Fully integrated in statistical law or legal framework	61
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework		Partially integrated in statistical law or legal framework	27
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework		Not integrated in statistical law or legal framework	6
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework		Other	5
Q00.4	How UNFPOS are communicated to raise awareness at the national level		UNFPOS are mentioned in reports, strategy and policy papers, publications	82
Q00.4	How UNFPOS are communicated to raise awareness at the national level		UNFPOS are discussed in meetings and events, such as the World Statistics Day	67
Q00.4	How UNFPOS are communicated to raise awareness at the national level		None of the above	2
Q00.4	How UNFPOS are communicated to raise awareness at the national level		Other	5
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		User workshops/ stakeholder coordination meetings 	83
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		User satisfaction surveys	76
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		Website traffic analysis	69
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		User council or organized user group	60
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		Independent review(s) of key stakeholders' satisfaction	34
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years		Other	13
Q01.1a	Mandate of user council or organized user group		Strategic advice on statistical policy and priorities	75
Q01.1a	Mandate of user council or organized user group		Coordination of statistical activities	66
Q01.1a	Mandate of user council or organized user group		Technical advice, in general or on specific statistical programmes and topics	61
Q01.1a	Mandate of user council or organized user group		Other	9
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Government employees (administrative staff, technical staff)	96
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Academia and professional associations (e.g. statistical society)	93
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Chamber of commerce or other business networks	80
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Policy-makers (ministers, politicians)	75
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Civil society organizations (e.g., NGOs)	66
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Mass media	50
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Workers' unions	45
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		International organizations, including financial institutions	41
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		General public	38
Q01.1b	Stakeholders represented in user council or organized user group in the past five years		Other	21
Q01.2	Planning instruments currently being used by the NSS/NSO		Annual or multiannual work programme	88
Q01.2	Planning instruments currently being used by the NSS/NSO		National Strategy for the Development of Statistics (NSDS)	60
Q01.2	Planning instruments currently being used by the NSS/NSO		Sectoral Statistical Plans	27
Q01.2	Planning instruments currently being used by the NSS/NSO		Sub-national Statistical Plans	9
Q01.2	Planning instruments currently being used by the NSS/NSO		Other	4
Q01.2a	Time span of current NSDS	Starting year	2011	4
Q01.2a	Time span of current NSDS	Starting year	2013	11
Q01.2a	Time span of current NSDS	Starting year	2014	4
Q01.2a	Time span of current NSDS	Starting year	2015	13
Q01.2a	Time span of current NSDS	Starting year	2016	19
Q01.2a	Time span of current NSDS	Starting year	2017	19
