QuestionID	QuestionText	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17
Q00.1	Answering on behalf of																	
Q00.2	Awareness of existence UNFPOS	NSO / Chief Statistician	Heads/Senior managers of other agencies of NSS	Line ministry / Department to which NSO reports														
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	Response	Other (detail)															
Q00.4	How UNFPOS are communicated to raise awareness at the national level	UNFPOS are mentioned in reports, strategy and policy papers, publications	UNFPOS are discussed in meetings and events, such as the World Statistics Day	None of the above	Does not know 	Other	Other (detail)											
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	User council or organized user group	User satisfaction surveys	Independent review(s) of key stakeholders' satisfaction	User workshops/ stakeholder coordination meetings 	Website traffic analysis	None of the above	Does not know 	Other	Other (detail)								
Q01.1a	Mandate of user council or organized user group	Strategic advice on statistical policy and priorities	Technical advice, in general or on specific statistical programmes and topics	Coordination of statistical activities	Other	Other (detail)												
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	Government employees (administrative staff, technical staff)	Policy-makers (ministers, politicians)	Workers' unions	Chamber of commerce or other business networks	Academia and professional associations (e.g. statistical society)	Civil society organizations (e.g., NGOs)	Mass media	General public	International organizations, including financial institutions	Other	Other (detail)						
Q01.1c	Number of meetings of user council or organized user group held in the past five years																	
Q01.2	Planning instruments currently being used by the NSS/NSO	Annual or multiannual work programme	National Strategy for the Development of Statistics (NSDS)	Sectoral Statistical Plans	Sub-national Statistical Plans	None of the above	Other	Other (detail)										
Q01.2a	Time span of current NSDS	From	To															
Q01.2b	NextNSDS	If current NSDS ends in 2018/2019, is the next one currently being designed?	If the next NSDS is being designed, when will it be launched?	If the next NSDS is not being designed, why?														
Q01.3	How did the NSS decide on statistical plans and budget allocations in the past five years? Who was consulted and who approved the plan?																	
Q01.4	Measures currently in place for disseminating statistics	Appointment of a specialized unit responsible for dissemination at the NSO	Pursuing a dissemination/communications strategy	Publishing an advanced release calendar, announcing when various statistics will be published	Publishing catalogues of available publications, documents, and other services	Using various dissemination media, such as print publications, online pdf files, etc.	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Providing online access to data via APIs	Providing user support via e-mail, written correspondence or telephone	None of the above	Does not know 	Other	Other (detail)			
Q01.4a	Statistics covered in the calendar																	
Q01.4b	Time span of the calendar																	
Q01.4c	Frequency of adjustments to the release dates specified in the calendar																	
Q01.5	Circumstances under which NSS needed approval to publish statistical information, and from whom, in the last five years																	
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	Media	Government departments/policy-makers	Workers' unions	Chamber of commerce or other business networks	International organizations, including IFIs	None of the above	Other	Other (detail)									
Q01.6a	If any user has access to a pre-release, is this publicly identified?																	
Q01.6b	Additional details on pre-release																	
Q01.7a	Conditions for online access to aggregates and/or microdata	For a fee	After registration on the website	Under publicly available terms of use	After signing a licensing agreement	Other												
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	For non-commercial purposes	For commercial purposes	For a fee	Under condition of attribution of the source 	Other	Other (detail)											
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For non-commercial purposes	For commercial purposes	For a fee	Under condition of attribution of the source	Other	Other (detail)											
Q01.8	Aditional comments on challenges to the implementation of Principle 1																	
Q02.1	Chief statistician has direct access to policy-making authorities																	
Q02.10	Other agencies in the NSS have received training concerning open data, data privacy or access to information policies and principles																	
Q02.10a	Type of training received by agencies in the NSS concerning open data, data privacy or access to information policies and principles																	
Q02.10b	Reasons why other agencies of NSS have not received training concerning open data, data privacy or access to information policies and principles																	
Q02.11	Additional comments on challenges to the implementation of Principle 2																	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	Meetings with Ministers/deputy Ministers	Attending Upper/lower house hearings	Other	Other (detail)													
Q02.1b	Main reasons/challenges preventing direct access to policy-making authorities by chief statistician																	
Q02.2	Existence of clear rules for appointment and dismissal of the head of NSO																	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	Qualifications	Selection procedure	Length of appointment	Age limit	Limit of terms in office	Reasons for dismissal	None of the above	Other	Other (detail)								
Q02.3	Inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years																	
Q02.3a	What was questioned in inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years																	
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By authorizing statistical or methodological councils to take formal decisions on the methodology	By using internationally recommended standards and methods	By fully disclosing the applied methodology(ies)	By publishing revision policy(ies) and other procedural manuals	Peer or expert reviews from international committees, national committees, professional associations, etc.	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	None of the above	Other	Other (detail)								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	The NSO monitors compliance with classifications and standards	Committees for specific fields are responsible for the coordination of standards	The NSO reviews and approves questionnaires and/or methodologies	None of the above	Other	Other (detail)									
Q02.6	Document(s) providing guidance on professional ethics for staff	Statistical law	Internal regulations and staff rules	Codes of conduct for civil servants	Specific codes for statistical personnel	None of the above	Other	Other (detail)										
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Orientation and training programmes and seminars	Swearing in of new staff and receipt of the relevant laws and guidelines	Handbooks, booklets, posters and the Intranet	None of the above	Other	Other (detail)											
Q02.8	How NSO/NSS develops professional qualifications of staff																	
Q02.9	NSO staff has received training concerning open data, data privacy or access to information policies and principles																	
Q02.9a	Reasons why NSO staff has not received training concerning open data, data privacy or access to information policies and principles																	
