QuestionID	QuestionText	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17
Q00.1	Answering on behalf of	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00.2	Awareness of existence UNFPOS	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00.4	How UNFPOS are communicated to raise awareness at the national level	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q01.1a	Mandate of user council or organized user group	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Q01.1c	Number of meetings of user council or organized user group held in the past five years	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.2	Planning instruments currently being used by the NSS/NSO	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Q01.2a	Time span of current NSDS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.2b	NextNSDS	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.3	How did the NSS decide on statistical plans and budget allocations in the past five years? Who was consulted and who approved the plan?	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.4	Measures currently in place for disseminating statistics	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Q01.4a	Statistics covered in the calendar	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.4b	Time span of the calendar	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.4c	Frequency of adjustments to the release dates specified in the calendar	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.5	Circumstances under which NSS needed approval to publish statistical information, and from whom, in the last five years	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q01.6a	If any user has access to a pre-release, is this publicly identified?	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.6b	Additional details on pre-release	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01.7a	Conditions for online access to aggregates and/or microdata	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q01.8	Aditional comments on challenges to the implementation of Principle 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.1	Chief statistician has direct access to policy-making authorities	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.10	Other agencies in the NSS have received training concerning open data, data privacy or access to information policies and principles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.10a	Type of training received by agencies in the NSS concerning open data, data privacy or access to information policies and principles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.10b	Reasons why other agencies of NSS have not received training concerning open data, data privacy or access to information policies and principles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.11	Additional comments on challenges to the implementation of Principle 2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.1b	Main reasons/challenges preventing direct access to policy-making authorities by chief statistician	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.2	Existence of clear rules for appointment and dismissal of the head of NSO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q02.3	Inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.3a	What was questioned in inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q02.6	Document(s) providing guidance on professional ethics for staff	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q02.8	How NSO/NSS develops professional qualifications of staff	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.9	NSO staff has received training concerning open data, data privacy or access to information policies and principles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.9a	Reasons why NSO staff has not received training concerning open data, data privacy or access to information policies and principles	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q03.2	How users are informed of the quality of published data	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Q03.3	Types of explanatory texts that accompany published data	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q03.3a	Reasons why no accompanying text is provided with published data	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q03.3b	Information included in explanatory texts that accompany published data	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q03.3d	Types of manuals and protocols made available with published data	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Q03.5	Additional comments on challenges to the implementation of Principle 3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.1	The NSO/NSS has reacted to erroneous interpretation and misuse of statistics during the past five years	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.2	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q04.2a	Types of misuse identified in the past two years?	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Q04.3a	Number of times "seminars, participation in external events, and/or appearance in mass media" took place to educate users in the past five years	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.4	The NSO/NSS carries out user-engagement activities to better understand users' needs	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.4a	Details on user-engagement activities carried out by NSO/NSS to better understand users' needs	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.4b	Reasons why user-engagement activities are not carried out by NSO/NSS to better understand users' needs	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04.5	Additional comments on challenges to the implementation of Principle 4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q05.1	Sources of data currently used by the NSO	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q05.1a	How administrative records are currently used	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q05.1b	Actions are being taken for adapting administrative records to statistical purposes	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q05.3	Quality management framework(s) currently applied by the NSO	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q05.3a	Aspects considered in the quality management framework	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q05.4	Measure(s) being applied to reduce respondent burden	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Q05.5	Additional comments on challenges to the implementation of Principle 5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q06.1a	Confidentiality provision in the laws applies to…	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q06.2	Aspects considered in the confidentiality policy of the NSO	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Q06.2a	Examples of cases in which the confidentiality policy was violated in the past five years, and the sanctions that were applied	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q06.3	Practices being implemented to anonymize statistical data	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Q06.4a	Regulations that indicate the circumstances under which individual data can be disclosed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q06.5	Additional comments on challenges to the implementation of Principle 6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.1	Existence of a general statistics law in the country	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.2	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Q07.4 	Person/office within the government to whom the head of the NSO reports	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.6 	Regulations affect the functioning of the NSOs published on the website	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07.7 	Additional comments on challenges to the implementation of Principle 7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Q08.2	Activities currently being implemented for coordinating the NSS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Q08.3	Frequency of meetings between producers of official statistics during the past five years	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08.4	How is dissemination coordinated across the NSS	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Q08.5	Existence of a central data portal where different members of the NSS publish official statistical data	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08.5b	Reasons/challenges explaining lack of data portal where different members of the NSS publish official statistical data	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08.6	Additional comments on challenges for the implementation of Principle 8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09.1	Version of the SNA currently used	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09.1a	Details on version of SNA currently used	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09.2	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
