OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	QuestionID	QuestionText	Response.1
195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
