QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Other	There is no statistical Law of legal framework
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	Other	There is no formal NSS or institutional framework
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	213	150	Europe	155	Western Europe			France	250	FRA				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Not integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	Not integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	Not integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	Not integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	Not integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	Other	Statistical law makes reference to European Statistics Code of Practice
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	Partially integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	Fully integrated in statistical law or legal framework	
Q00.3	Extent to which UNFPOS are integrated into the NSS institutional framework	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	Fully integrated in statistical law or legal framework	
