QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06
Q00.4	How UNFPOS are communicated to raise awareness at the national level	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	1	0	0	0	The New NSS law was designed according to the UNFPOS.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	0	0	1	Other: On the official websites of statistical bodies.  Below we provide information on how each of the 10 Fundamental Principles is fixed in the Law on State Statistics of the Republic of Belarus http://www.belstat.gov.by/upload-belstat/upload-belstat-pdf/o-belstate/Zakon_ogs.pdf (page number of the Law where the principle is mentioned is indicated) Pages Principle 1: Relevance, impartiality and equal access 3;4;8;15-16 Principle 2: Professional standards and ethics 3;4;12;13;15;16  2;3;4;8;9;11;12;13;14  7;11 Principle 5: Sources of official statistics 2;4  4;14-15;16  1;3;8;11  4;5;11;12;14 Principle 9: Use of international standards 3;8;12;13  4;7
Q00.4	How UNFPOS are communicated to raise awareness at the national level	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	0	1	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	1	0	0	0	The SIB has and continues to include the UNFPOS in its sensitization and public awareness efforts, especially as it pertains to the agencies that comprise the NSS. The Code of Good Practice in Statistics for Latin America and the Caribbean is disseminated on the SIB's website.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	0	0	0	The awareness is raised through workshops and meetings, as part of the implementation of the Botswana National Strategy for the Development of Statistics (NSDS), the sectors/ministries enrolled into the process are trained or sensitized on the Fundamental Principles of Official Statistics; these also includes agencies which the NSO has singed Memorandum of Understanding with them. In other platform and forums where the NSO makes a presentation to the stakeholders about the role and importance of Official Statistics, the NSO always makes it a point to include the FPO .
Q00.4	How UNFPOS are communicated to raise awareness at the national level	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	1	0	0	0	National Statistics Committee (NSC) was established in 2012 with the main objective to collaborate with Government departments in the collection, compilation and publication of statistical information, including statistics derived from the activities of those departments. Meetings of the National Statistics Committee (NSC) are conducted frequently to ensure the effectiveness and coordination of the National Statistical System (NSS).
Q00.4	How UNFPOS are communicated to raise awareness at the national level	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	0	0	0	0	The UNFPOS are laid down in the Strategy for Development of the National Statistical System, 2013-2017, amended by an extension until 2020 as well as in Guidelines on quality criteria in the NSS of Bulgaria
Q00.4	How UNFPOS are communicated to raise awareness at the national level	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	0	0	0	They are also communicated on our website
Q00.4	How UNFPOS are communicated to raise awareness at the national level	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	1	1	0	0	0	Mentioned in the Strategic Plan of the Economics and Statistics Office, and presented in the National Statistics Coordination Committee meetings.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	0	0	0	0	The 13th Five Year Plan of statistical Reform and development.
