QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	0	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	0	0	free of charge
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	1	1	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	0	Not distributed
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	1	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	0	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	0	0	0	Not applicable
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	0	1	Open license applies
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	1	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	1	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	1	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	1	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	0	0	0	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	1	1	0	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	213	150	Europe	155	Western Europe			France	250	FRA				Developed	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	0	0	0	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	1	1	1	
Q01.7c	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	1	0	0	When the reuse involves any modification to the data or text, including the translation of text, this is stated clearly to the end user of the information, as well as that ELSTAT bears no responsibility for the result of the modification.
