QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	0	Chief of Cabinet of Ministers
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	Department Head Meetings and regular engagement
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	0	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	0	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	0	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	0	0	Rèunions avec la tutelle ministérielle
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	0	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	213	150	Europe	155	Western Europe			France	250	FRA				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	0	Réunion du Conseil de Cabinet Ministériel de tutelle
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	0	The President of the HCSO participates as a permanent invitee at the meeting of the forum preparing the meeting of the Government and shall be invited to the item on the agenda of the meeting of the Government that concerns the tasks of the HCSO
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	0	Access to key ministerial professional staff
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	0	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	1	0	Any types of communication (letters, e-mails, telephone, face to face meetings etc)
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	1	0	
