QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed		
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing		The main challenge is to list this necessity as one of the priority. Is plan to be done in 2019.
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Public Information Access Agency & Undersecretary of Public Innovation and Open Government (Modernisation Government Secretary)	
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	The ABS fosters a strong privacy culture by requiring all staff to undertake privacy training at regularly intervals, providing regular privacy communication and messaging, and uses privacy-by-design principles to ensure privacy is considered at all stages of project development and implementation. This approach was successfully used in the recent Australian Marriage Law Postal Survey and is being used in the 2021 Census program.	
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	There are regular Training courses for incioming staff on this issues	
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Belstat's IT staff regularly attend seminars and undertake training and skills upgrade courses on information security and data protection according to the annually developed plan for skills upgrade of managerial staff and specialists	
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	specific training on data privacy	
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing		
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing		lack of fund
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	BY TRAINING ON WORKSHOPS, SEMINARS	
