QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	General modernisation of the NSO's informatics and telecommunications resources and services.
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	The ABS is currently implementing a wide reaching transformation agenda to enable the ABS to achieve its purpose and ensure that its systems, process and methods remain relevant and functional. The ABS's ambitious transformation agenda is arguably the most significant and comprehensive change in its history. The transformation is essential for the continued production of timely, relevant and quality statistical information required to inform decisions in a rapidly changing world. Beginning in 2014-15, the ABS transformation is underpinned by an investment of $257 (AUD) million to modernise infrastructure over five years through the Statistical Business Transformation Program (see recommendation 3 for more information). The Statistical Business Transformation Program is responsible for designing and developing the next generation of statistical business processes and supporting information infrastructure to provide a platform to reduce costs and burden on providers, bring together various datasets to develop new statistical products more rapidly, and make data available in a form which can be more easily used. The transformation program is focused on building capacity on six key areas: environment, strategy, governance, people, culture and infrastructure.
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	The Integrated State Statistics Information System (ISSIS) has been created in the country, the main purpose of which is to create an integrated statistical information resource and software, technological and technical means with the aim of pursuing a uniform information policy in the field of state statistics. ISSIS allowed not only to automate the main processes of statistical production, but also to collect reports from respondents in electronic format. Currently, about 96% of all respondents use electronic format for submitting reports. An automated electronic document management system, as well as a corporate e-mail system; information protection system, computing and network infrastructure that ensures the functioning of the information system of state statistics bodies at all levels - from the district to the national level, have also been created within the framework of ISSIS
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Data collection by CAPI to reduce processing time.Data collection by teams for sample surveys, for improved supervision and monitoring of progress.
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	The organization has taken a deliberate decision to move from PAPI to CAPI as a way of improving technology in undertaking its statistical processes.
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	The adoption of multimodal approaches for data collection in the recent Labour Force Survey 2018 was implemented such as the adoption of using Computer Assisted Personal Interviews (CAPI) which significantly reduced processing time
