QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08
Q06.3	Practices being implemented to anonymize statistical data	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	1	0	1	1		0
Q06.3	Practices being implemented to anonymize statistical data	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	1	0	1	0	0		0
Q06.3	Practices being implemented to anonymize statistical data	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	1	1	1	0	0		0
Q06.3	Practices being implemented to anonymize statistical data	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	1	1	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	1	1	1	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	0	0	0	1	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	1	1	1	1	1		0
Q06.3	Practices being implemented to anonymize statistical data	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	1	0	1	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	1	1	0	0	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	0	1	0	0		0
Q06.3	Practices being implemented to anonymize statistical data	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	1	1	0	1		0
Q06.3	Practices being implemented to anonymize statistical data	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	1	0	1	0	0		0
Q06.3	Practices being implemented to anonymize statistical data	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	1	1	1	0	1		0
