QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	0	0	0	0	0	0	If so required for statistical purposes by an international legal act with direct national effect or by federal law or unless the data subject has expressly and unequivocally agreed to such transmission.	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	0	0	0	0	0	In compliance with the legislation, without the written consent of the respondent, primary statistical data may be provided in relation to subordinated (affiliated) state organizations, as well as organizations whose shares (shares in the statutory capital) are state-owned and transferred to them for management.	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	0	0	1	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	0	0	0	1	1	0	When exchanging data for statistical purposes with other national statistical authorities of the Member States in the EU under multilateral agreement where this is necessary for development and production of European statistical information; When exchanging data with the Bulgarian National Bank in developing, producing and disseminating official national or European statistical information or the statistical information of the European Central Bank	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	0	0	0	0	0	0	Statistics Canada may disclose individual information with permission from the authority responsible for original collection of the information from individuals and businesses. In addition to consent, the Chief Statistician must also have authorized the disclosure.	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	1	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	0	0	0	0	0	1		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1	0	0	1	1	1	1		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	0	0	0	0	0	0	1		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	1	0	0	0	1	1	0		0
