QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	None of the above
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Sanctions apply only for surveys that are mandatory. Specific criteria for mandatory surveys is set out in policy, and include factors such as where the survey results meet specific requirements of other federal and provincial statutes and regulations, or the results may affect domestic and international financial and commodity markets.
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	All surveys are mandatory
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	According to the type of survey
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	According to the type of survey
