QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	No
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	No such law exists
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	Yes
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	Yes
