QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q11.2	Main challenges being faced in the implementation of the UNFPOS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1. Enforce the legal frame on statistical field;2. Enforce the capacity building of official statistics producers;3. Improve the confidence on official statistics to the users;4. Increase the professional capacity of statisticians.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Increase mentioning of the UNFPOS in events;Display the UNFPOS in some publications.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	* Not Updated Legal Framework (there is a current working process aimed to reverse this situation).* Improvement of the NSS Coordination.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	The emergence of many new data providers and competitors in the face of declining funding and challenging resource constraints, it makes it hard to continue to deliver the same volume and level of high quality statistics. The ABS is having to think smarter and be leaner in order to maintain the standard it has consistently set for its 110 year history.Another key challenge is how widely the UNFPOS principles are adopted across other key NSO's and NSS' particularly for comparability and best practice purposes.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Wider use of administrative data, quality assessment, publication of quality reports
Q11.2	Main challenges being faced in the implementation of the UNFPOS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	The major challenges are inadequate human and financial resources. These are major constraints to the SIB's ability to further implement the UNFPOS.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Lack of complete knowledge and understanding on UNFPOS.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Insufficiently organized statistical system in the country and the reason is a high degree of decentralization
Q11.2	Main challenges being faced in the implementation of the UNFPOS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	None, except where producers are not aware and measures will put in place to address the situation.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Limited resources to implement the principles fully and the need to improve on the implementation of Principle 7 on Legislation and Principle 8 on National Coordination.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	awareness of the bodies of the system for an undertaking of this initiative
Q11.2	Main challenges being faced in the implementation of the UNFPOS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	The lack of legislation in implementing it across NSS
Q11.2	Main challenges being faced in the implementation of the UNFPOS	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	We do not have a inter-ministenal data center where administrative records/data can be shared instantly.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	While the strengthening of the National Statistical System in Colombia has been improved and recognized in the statistical community, it has been observed some important challenges in order to maintain the implementation of the UNFPOS: It is necessary to make efforts to keep the institutional arrangements for the National Statistical System. Especially, it has been observed the importance to follow and accomplish the goals that were planned in the National Statistical Strategy. Another challenge has to do with the role of the DANE as governing body and the need to create a strengthening of instruments which allows improving the coordination among the NSS members.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Disseminate the content in other institutions of the SEN.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	le renforcement du cadre institutionnel du système statistique national à  travers la mise en place du Conseil National de la Statistique est un des défis majeurs
Q11.2	Main challenges being faced in the implementation of the UNFPOS	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	problems in the adoption process of the new law
Q11.2	Main challenges being faced in the implementation of the UNFPOS	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	One of the main challenges for the proper application of the fundamental principles of statistics is the uptating of the Statistical Law that encompasses in general terms those principles and that are mandatory, of all entities of the NSS.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	Difficulties in coordination with statistical stakeholders.Unifying statistical standards. Lack of statistical awareness.Difficulty in access to data sources. Financial and technical support.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	We are working to raise awareness about the importance of official statistics.Sometimes we receive the administrative data with delay. We can not publish the statistics on time if they send us the primary datas late.We have a limited budget. The lack of financing makes the development of many of our projects impossible.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	213	150	Europe	155	Western Europe			France	250	FRA				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	Coordination in the NSS.Insufficient level of statistical capacity.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Preparing and releasing reliable statistics of a high quality is our main task. To do this properly, it is crucial at any time to follow the Fundamental Principles of Official Statistics. It continues to be a main challenge to preserve the core values of official statistics under tight budgetary constraints in a dynamic environment and various contexts such as interest based negotiations processes with different stakeholders. In this sense, it is a benefit to have the FPOS as a point of reference to which the Statistical Community has agreed on.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	A main challenge is the coordination of statistical activities of the ELSS agencies.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	Les défis sont nombreux. Les réformes tardent à  se concrétiser. Le personnel n'est pas motivé par le traitement salarial. Il y a peu de statisticiens et de démographes à  l'Institut. Les activités sont en grande partie financées par l'extérieur. L'infrastructure n'est pas adéquate
Q11.2	Main challenges being faced in the implementation of the UNFPOS	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	There are no challenges.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	Weak financial resources and lack of integrated coordination between producers and users of data
Q11.2	Main challenges being faced in the implementation of the UNFPOS	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	There has been no clear statistics act for the whole NSS in Iran supporting the status of the SCI as national authority on official Statistics and a new Statistics Act is under preparation.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	Better implementation of the UNFPOS throughout the NSS
Q11.2	Main challenges being faced in the implementation of the UNFPOS	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	Lack of a formal NSS
Q11.2	Main challenges being faced in the implementation of the UNFPOS	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	To ensure full implementation of EU General Data Protection Regulation.To strengthen technical and organizational measures to prevent, detect, analyze and respond to cyber incidents.To reconcile the timeliness of administrative data with statistical needs.
Q11.2	Main challenges being faced in the implementation of the UNFPOS	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	
Q11.2	Main challenges being faced in the implementation of the UNFPOS	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	To further expand and intensify the implementation of UNFPOS to the relevent line ministries in the NSS.
