QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q00.2	Awareness of existence UNFPOS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Yes	N/A	N/A
Q00.2	Awareness of existence UNFPOS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Yes	No	Yes
Q00.2	Awareness of existence UNFPOS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Yes	No	N/A
Q00.2	Awareness of existence UNFPOS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Yes	No	Yes
Q00.2	Awareness of existence UNFPOS	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Yes	Yes	Yes
