QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q01.2b	NextNSDS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed			
Q01.2b	NextNSDS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing			
Q01.2b	NextNSDS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing			
Q01.2b	NextNSDS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed			
Q01.2b	NextNSDS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed			
Q01.2b	NextNSDS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed			
Q01.2b	NextNSDS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed			
Q01.2b	NextNSDS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing			
Q01.2b	NextNSDS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing			
Q01.2b	NextNSDS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed			
Q01.2b	NextNSDS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing			
Q01.2b	NextNSDS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing			
Q01.2b	NextNSDS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed			
Q01.2b	NextNSDS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing			
Q01.2b	NextNSDS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed			
Q01.2b	NextNSDS	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing			
Q01.2b	NextNSDS	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing			
Q01.2b	NextNSDS	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing			
Q01.2b	NextNSDS	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing			
Q01.2b	NextNSDS	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing			
Q01.2b	NextNSDS	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing			
Q01.2b	NextNSDS	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed			
Q01.2b	NextNSDS	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed			
Q01.2b	NextNSDS	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed			
Q01.2b	NextNSDS	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing			
Q01.2b	NextNSDS	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing			
