QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q01.4b	Time span of the calendar	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	13-24 months	
Q01.4b	Time span of the calendar	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	4-12 months	
Q01.4b	Time span of the calendar	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	4-12 months	
Q01.4b	Time span of the calendar	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	QuestionID	
Q01.4b	Time span of the calendar	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	4-12 months	
Q01.4b	Time span of the calendar	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	4-12 months	
Q01.4b	Time span of the calendar	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	4-12 months	
Q01.4b	Time span of the calendar	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	4-12 months	
Q01.4b	Time span of the calendar	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing		
Q01.4b	Time span of the calendar	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	4-12 months	
Q01.4b	Time span of the calendar	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing		
Q01.4b	Time span of the calendar	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing		
Q01.4b	Time span of the calendar	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	4-12 months	
Q01.4b	Time span of the calendar	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	4-12 months	
Q01.4b	Time span of the calendar	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	4-12 months	
Q01.4b	Time span of the calendar	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	4-12 months	
Q01.4b	Time span of the calendar	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	More than 2 years	
Q01.4b	Time span of the calendar	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	13-24 months	
Q01.4b	Time span of the calendar	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing		
Q01.4b	Time span of the calendar	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	4-12 months	
Q01.4b	Time span of the calendar	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing		
Q01.4b	Time span of the calendar	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	13-24 months	
Q01.4b	Time span of the calendar	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	13-24 months	
Q01.4b	Time span of the calendar	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	13-24 months	
Q01.4b	Time span of the calendar	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	4-12 months	
Q01.4b	Time span of the calendar	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	13-24 months	
Q01.4b	Time span of the calendar	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing		
Q01.4b	Time span of the calendar	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	4-12 months	
Q01.4b	Time span of the calendar	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	4-12 months	
