QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q01.6a	If any user has access to a pre-release, is this publicly identified?	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	213	150	Europe	155	Western Europe			France	250	FRA				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	Yes, in some cases
Q01.6a	If any user has access to a pre-release, is this publicly identified?	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	
Q01.6a	If any user has access to a pre-release, is this publicly identified?	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	Yes, in some cases
Q01.6a	If any user has access to a pre-release, is this publicly identified?	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	Yes, always
Q01.6a	If any user has access to a pre-release, is this publicly identified?	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	No
Q01.6a	If any user has access to a pre-release, is this publicly identified?	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	Yes, always
