QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	0	0	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	1	1	0	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	1	0	0	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	0	1	1	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	1	0	1	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	1	0	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	0	1	0	0	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	0	0	0	1	0	1	Dedicated dissemination staff for responding to requests; press conferences and media appearances; social media
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	1	0	0	0	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	0	1	1	0	0	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	1	1	1	0	0	
