QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R14	R13
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	0	1	0	0	0	0	0	0	0	0	0	1	PxWeb for statistical database	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1	1	1	0	0	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	0	0	0	0	0	0	0	1	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	0	0	0	0	1	0	0	0	0	0	0	1	STATcube - Statistics Austrias Database	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	0	0	0	1	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	0	0	0	1	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	0	0	0	0	0	0	0	0	0	0	1	Redatam	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	0	0	0	0	0	0	0	0	0		1
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	0	0	0	1	1	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	0	0	0	0	1	1	0	0	1	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	0	0	0	0	1	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	1	0	0	0	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	0	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	1	0	0	0	0	0	0	0	0	1	1	REDATAM for census	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	0	0	0	0	0	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	0	0	0	0	0	1	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1	0	1	0	0	0	0	1	0	1	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	0	0	0	0	0	0	1	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1	0	1	0	0	1	1	0	1	1	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	0	1	1	0	1	0	0	1	1	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	0	0	0	0	1	0	0	1	0	0	0	1	CZSO provides special applications (Public Database, External Trade, National Accounts) to use by users	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	0	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	0	1	0	0	0	0	1	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	1	1	1	1	0	0	1	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	1	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	0	0	0	0	0	0	0	1	0	0	0	1	PX-Web	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	0	0	0	0	1	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	213	150	Europe	155	Western Europe			France	250	FRA				Developed	0	0	0	0	0	0	0	0	0	0	0	1	https://www.data.gouv.fr/, https://www.insee.fr/	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	0	1	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	0	0	0	0	1	0	0	0	0	0	0	1	gov. data (German Data Platform)	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	0	0	0	0	1	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	0	0	1	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	0	0	0	1	0	0	1	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	0	0	1	0	1	0	0	1	0	0	0	1	own website	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	0	0	0	1	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	0	0	1	1	0	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	0	1	0	0	1	0	0	0	1	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	0	1	1	0	0	0	0	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	0	1	0	0	0	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	0	1	0	0	0	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	0	0	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	0	0	0	0	1	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	0	1	1	1	0	0	1	0	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	0	0	0	0	0	0	0	0	0	0	0	1	PX-web	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	0	0	0	0	1	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	0	1	0	0	0	0	0	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	0	1	0	0	1	0	0	1	0	0	0	1	Open data - data.public.lu (La plate-forme de données luxembourgeoise); www.grande-region.lu	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	0	0	1	0	1	0	0	1	0	0	0	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	0	0	0	0	0	0	0	0	0	0	1	1	data.gov.my (Malaysia Open Data portal) and IMF (Subscribe with SDDS)	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	0	0	0	0	0	0	0	0	0	0	1	1	National Open Data portal accessible at: https://data.govmu.org/dkan/	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	0	0	0	0	0	0	0	0	0	0	1	1	Mexico open data portal (datos.gob.mx)	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	0	1	0	0	0	0	1	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1	0	1	1	0	1	1	0	0	1	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	0	0	0	0	0	0	0	0	0	0	0	1		1
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	1	0	0	0	0	0	0	0	0	1	1	The NSA App as the custom-developed data platform	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	0	0	0	0	0	0	0	1	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	0	1	0	0	0	0	0	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	0	1	0	0	0	0	0	0	0	1	0	1	NATIONAL SUMMERY PAGE	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	0	1	0	1	0	0	1	0	0	0	0	1	PX-Web	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	0	0	0	1	0	0	0	0	0	0	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	0	1	0	0	0	0	0	0	1	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	0	1	1	0	0	0	1	0	0	1	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	0	0	1	0	1	0	0	1	1	0	0	1	the following systems are used to share the data with international organizations: Integrated Correspondence System (ICS) for IMF, FTP for UN.	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	0	1	1	1	0	0	0	0	1	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	0	0	0	1	1	0	0	1	1	0	1	1	ArmStatBank at https://www.armstat.am/en/?nid=13, Armenia SDGs indicators at https://www.armstat.am/en/?nid=655	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	0	1	0	0	0	0	0	0	0	0	0	1	StatBank (http://www.statistica.md/pageview.php?l=ro&idc=407) GenderPulse (http://genderpulse.md/?utm_source=Statistica&utm_medium=banner&utm_campaign=main_page),  Census platform (http://recensamant.statistica.md/)	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	0	1	0	0	1	0	0	0	0	0	1	1	Oracle databases in-house developed	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	0	1	0	0	0	0	0	0	0	0	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	0	0	0	0	0	0	1	0	0	0	0	1	ReDATAM	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	0	0	0	0	0	0	0	0	0	0	0	1		1
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	0	0	0	0	1	0	0	1	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	0	0	0	1	1	0	0	0	0	0	1	1	National web page (NSDP) on eGDDS	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	0	0	0	0	0	0	0	0	0	0	0	1	IMF Open Data Platform	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	0	0	0	0	0	0	0	0	0	0	1	1	SingStat Mobile Application	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	0	0	0	0	0	0	0	0	0	0	0	1	PC-Axis	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	0	0	0	1	0	0	0	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	0	0	0	0	1	0	0	1	0	0	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	0	0	0	0	0	0	1	0	0	0	1	1	LankaSis	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	0	0	0	1	0	0	0	0	0	0	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	0	0	0	0	0	0	0	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	0	0	0	0	1	0	0	1	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	0	0	0	0	0	0	1	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	0	0	0	0	0	1	1	0	1	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	0	0	0	0	1	0	0	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	1	1	0	1	1	0	0	0	1	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	0	0	0	0	1	0	0	0	0	0	0	1	Open Data Portal	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	1	0	0	0	0	0	0	0	0	1	1	National Data Portal	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	0	0	0	0	1	0	0	1	1	0	0	1		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	0	0	0	0	0	0	0	0	1	0	0	1	agency websites	0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	0	0	0	1	0	0	1	0	0	0	1	0		0
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	1	0	0	1	0	1	1	0	0	0	0	0		0
