QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R12	R11
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	0	0	1	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	1	0	1	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	0	0	0	0	0	0	0	0	0	1	Australian Institute for Health and Welfare (AIHW) which is a statutory body	0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	1	1	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	1	0	1	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	0	1	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	0	1	0	1	0	0	1	1	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	1	1	1	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	0	0	0	0	0	0	0	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	1	1	1	1	1	0	0		0
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	1	1	1	1	0	1	1	0	0		0
