QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q07.4 	Person/office within the government to whom the head of the NSO reports	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Parliament/Congress
Q07.4 	Person/office within the government to whom the head of the NSO reports	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Ministry of planning or development
Q07.4 	Person/office within the government to whom the head of the NSO reports	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Ministry of economic affairs, industry or trade
Q07.4 	Person/office within the government to whom the head of the NSO reports	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Australian Treasury
Q07.4 	Person/office within the government to whom the head of the NSO reports	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Prime Minister, chancellor or President
Q07.4 	Person/office within the government to whom the head of the NSO reports	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Prime Minister, chancellor or President
Q07.4 	Person/office within the government to whom the head of the NSO reports	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Ministry of economic affairs, industry or trade
Q07.4 	Person/office within the government to whom the head of the NSO reports	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Ministry of Economic Development
Q07.4 	Person/office within the government to whom the head of the NSO reports	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Prime Minister, chancellor or President
Q07.4 	Person/office within the government to whom the head of the NSO reports	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Cabinet or Council of Ministers
Q07.4 	Person/office within the government to whom the head of the NSO reports	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Ministry of finance or comptroller general
Q07.4 	Person/office within the government to whom the head of the NSO reports	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Ministry of finance or comptroller general
Q07.4 	Person/office within the government to whom the head of the NSO reports	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Cabinet or Council of Ministers
Q07.4 	Person/office within the government to whom the head of the NSO reports	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Ministry of finance or comptroller general
Q07.4 	Person/office within the government to whom the head of the NSO reports	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Ministry of economic affairs, industry or trade
Q07.4 	Person/office within the government to whom the head of the NSO reports	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Ministry of Finance and Economic Development
Q07.4 	Person/office within the government to whom the head of the NSO reports	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Prime Minister, chancellor or President
Q07.4 	Person/office within the government to whom the head of the NSO reports	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	Prime Minister, chancellor or President
Q07.4 	Person/office within the government to whom the head of the NSO reports	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	Ministry of planning or development
