QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R15	R14
Q08.2	Activities currently being implemented for coordinating the NSS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	1	1	0	0	1	1	0	1	1	1	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	1	0	0	0	1	0	1	0	0	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	1	1	1	1	0	0	0	0	0	0	1	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	1	1	1	1	0	0	1	1	0	1	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	1	0	0	0	0	0	0	0	1	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	1	1	0	0	0	1	0	0	1	1	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	1	1	1	0	0	0	0	0	1	1	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1	0	1	1	0	0	0	0	0	0	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	1	1	0	0	1	0	0	0	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	1	0	1	0	0	0	0	0	0	1	1	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	1	0	0	1	1	1	1	1	1	1	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	1	0	0	1	0	1	0	0	1	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	1	1	0	0	0	0	0	0	0	0	0	0		0
Q08.2	Activities currently being implemented for coordinating the NSS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	1	1	1	1	0	0	0	0	0	0	0	1	Development of a website for the statistical system	0
Q08.2	Activities currently being implemented for coordinating the NSS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	1	1	1	1	0	1	0	0	0	0	1	Bilateral meetings with line ministries	0
Q08.2	Activities currently being implemented for coordinating the NSS	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	1	1	0	0	1	1	1	0	1	0	0	1	Providing technical assistance and statistical advice on use of data	0
Q08.2	Activities currently being implemented for coordinating the NSS	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	1	1	1	0	0	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	1	1	1	0	0	0	0	1	0	1	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	0	1	0	0	0	1	0	0	0	1	1	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	1	1	1	0	0	0	0	1	0	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1	0	1	0	0	0	0	0	0	0	1	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	1	1	1	0	1	0	0	1	0	1	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	0	1	1	1	0	0	1	1	0	1	1	0	1	Signing of contracts on cooperation and data exchange for official statistics purposes.	0
Q08.2	Activities currently being implemented for coordinating the NSS	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	0	1	0	0	0	0	0	0	0	0	0	0	1	This is done for European statistics - official statistics is	0
Q08.2	Activities currently being implemented for coordinating the NSS	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	1	1	1	0	0	1	0	0	0	0	1	0	1	Share resources between entities to execute statistical operations	0
Q08.2	Activities currently being implemented for coordinating the NSS	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	1	1	1	1	1	0	1	1	1	0	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	1	1	0	0	0	0	0	0	0	1	1	Meeting with the responsable of the reseach institutions to share knowledge and experience	0
Q08.2	Activities currently being implemented for coordinating the NSS	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	1	1	1	0	0	0	1	1	0	0	1	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	1	1	1	1	0	1	1	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	213	150	Europe	155	Western Europe			France	250	FRA				Developed	1	1	1	1	1	1	1	1	0	1	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1	1	1	0	0	0	0	1	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	1	1	1	0	0	0	0	0	0	0	0	1	The statistical offices of the federation and the laender are preparing consolidated programs of statistical activities, including regular quality reviews, but this is not the case for the entire NSS so far.	0
Q08.2	Activities currently being implemented for coordinating the NSS	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	1	0	1	0	0	0	0	0	0	1	0	1	Monitoring by ELSTAT of the compliance of ELSS agencies with the European Statistics Code of Practice, in the framework of the obligation of ELSTAT provided for in the Greek Statistical Law to certify as	0
Q08.2	Activities currently being implemented for coordinating the NSS	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	1	1	0	1	0	0	0	0	1	1	1	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	1	1	0	0	0	0	0	0	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	1	1	1	0	0	1	1	1	1	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	1	0	1	0	0	0	0	0	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	1	1	0	0	0	0	0	0	0	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	1	1	0	0	0	1	0	0	0	0	0	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	1	1	1	1	0	0	0	0	0	0	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	1	1	1	0	0	0	1	1	1	1	0	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	1	1	0	1	0	0	0	1	0	0	1	1	1		0
Q08.2	Activities currently being implemented for coordinating the NSS	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1	1	1	0	0	0	0	0	0	0	0	0	1		0
