QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	A range of public sector data produced by Australian Government departments is also available on data.gov.au. Data.gov.au is a product of the Australian Government's Declaration of Open Government and enables access to data published by Australian Government departments and public institutions. Most of the data available is free of charge and can be visualised using the in-built mapping tools. Individuals and organisations are encouraged to use the data on this site for research, study or applications that add value to the global community. In addition to open datasets, data.gov.au includes information about unpublished public sector data and data available for purchase.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	www.data.gov.bn
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Is currently under development and will be presented on 16 November 2018
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Transportation Data Hub; SDG Data Hub; Government of Canada Open Data portal; Environment Canada Federal Sustainable Development Site; Public Health Agency website; Natural Resources Canada website; Employment and Social Development Canada website.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Compendium of Statistics published by the NSO
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	
