QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q09.1	Version of the SNA currently used	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	1993 SNA	
Q09.1	Version of the SNA currently used	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed		
Q09.1	Version of the SNA currently used	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	ESA 2010	
Q09.1	Version of the SNA currently used	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	1993 SNA	
Q09.1	Version of the SNA currently used	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	1993 SNA	
Q09.1	Version of the SNA currently used	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1993 SNA	
Q09.1	Version of the SNA currently used	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing		
Q09.1	Version of the SNA currently used	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	ESA 2010	
Q09.1	Version of the SNA currently used	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	2008 SNA	
Q09.1	Version of the SNA currently used	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	213	150	Europe	155	Western Europe			France	250	FRA				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	ESA 2010	
