QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	The NSO is preparing necessary conditions for the use of SMDX.
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Belstat is currently exploring the possibility of using SDMX for data transmission to the Eurasian Economic Commission, a national reporting platform for SDGs is being developed using the SDMX standard, which will be launched in early 2019. The main problems related to SDMX implementation are as follows: â€¢ insufficient training of NSS professionals; â€¢ lack of description of DSD structures from the Eurasian Economic Commission; â€¢ lack of technical assistance.
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	To be explore for future considerations.
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Lack of staff and other resources especially time as we are a very small office.
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	We do not have proper metadata base at the moment.
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	
