QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities			
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	0	51	55
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	1	42	45
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Comité de pilotage d'enquàªte		
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	One of the functions of the Rosstat Public Council is the consideration of Rosstat's plans for activities.		
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	SURS established statistical advisory committees for individual fields of national statistics. They have a long tradition in the national statistics in Slovenia; they were established in the 1980s and were formally introduced in 1995 with the Decree on the Establishment of Statistical Advisory Committees on the basis of Article 15 of the National Statistics Act. Statistical advisory committees have a significant impact on the development of national statistics in Slovenia at expert level and in cooperation of institutions in common efforts to provide quality, timely and relevant statistics.  Rules of procedures: https://www.stat.si/dokument/5184/StatisticalAdvisoryCommittees_RulesofProcedure_EN.pdf List of statistical advisory committees: Administrative Data Sources Advisory Committee, National Accounts and Financial and Monetary Statistics Advisory Committee, Regional Statistics Advisory Committee, Price Statistics Advisory Committee, Labour Statistics Advisory Committee, Energy Statistics Advisory Committee, Construction Statistics Advisory Committee, Industry and Mining Statistics Advisory Committee, Information Society Statistics Advisory Committee, Education and Training Statistics Advisory Committee, Agriculture, Forestry and Fisheries Statistics Advisory Committee, Crime Statistics Advisory Committee, Culture Statistics Advisory Committee, Natural Resources and Environment Statistics Advisory Committee, Real Estate Statistics Advisory Committee, Domestic Trade and Services Statistics Advisory Committee, Population Statistics Advisory Committee, Research and Development, and Technology Statistics Advisory Committee, Transport Statistics Advisory Committee, Tourism Statistics Advisory Committee, External Trade Statistics Advisory Committee, Health Advisory Committee, Standard of Living and Social Protection Statistics Advisory Committee, Business Statistics Advisory Committee		
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Various Advisory Committees from public, private, nonprofit and academia stakeholders		
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	we have both user groups and Statistical Council, council deals with stategic advice and a bit of coordination, while user groupps give tehnical advice on specific statistical areas		
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics			
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	0	59	63
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	1	34	37
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Comité de pilotage d'enquàªte		
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	One of the functions of the Rosstat Public Council is the consideration of Rosstat's plans for activities.		
