QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		Europe	33	35
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		Africa	15	16
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		Americas	13	14
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		Oceania	4	4
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		Asia	23	25
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	Yes	Europe	2	2
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	No	Africa	2	2
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	Yes	Asia	1	1
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		Europe	33	35
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		Africa	17	18
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		Americas	13	14
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		Oceania	4	4
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		Asia	23	25
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	2019	Europe	1	1
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	2020	Europe	1	1
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	2019	Asia	1	1
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		Europe	35	38
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		Africa	15	16
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		Americas	13	14
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		Oceania	4	4
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		Asia	24	26
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	In fact the current strategic plan ends in 2019. For 2019 is scheduled to design new generation of strategic plan (2020-2024).	Africa	1	1
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	Depuis le 02 novembre 2018, iI est mis en place un Secrétariat technique permanent (STP) chargé de superviser l'élaboration de la troisième Stratégie Nationale de Développement de la Statistique (SNDS 2019-2023).	Africa	1	1
