QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?		88	95
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	2019		
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	2020		
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	Depuis le 02 novembre 2018, iI est mis en place un Secrétariat technique permanent (STP) chargé de superviser l'élaboration de la troisième Stratégie Nationale de Développement de la Statistique (SNDS 2019-2023).		
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	In fact the current strategic plan ends in 2019. For 2019 is scheduled to design new generation of strategic plan (2020-2024).		
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	No	2	2
Q01.2b	NextNSDS	R01	If current NSDS ends in 2018/2019, is the next one currently being designed?	Yes	3	3
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?		90	97
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	2019	2	2
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	2020	1	1
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	Depuis le 02 novembre 2018, iI est mis en place un Secrétariat technique permanent (STP) chargé de superviser l'élaboration de la troisième Stratégie Nationale de Développement de la Statistique (SNDS 2019-2023).		
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	In fact the current strategic plan ends in 2019. For 2019 is scheduled to design new generation of strategic plan (2020-2024).		
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	No		
Q01.2b	NextNSDS	R02	If the next NSDS is being designed, when will it be launched?	Yes		
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?		91	98
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	2019		
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	2020		
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	Depuis le 02 novembre 2018, iI est mis en place un Secrétariat technique permanent (STP) chargé de superviser l'élaboration de la troisième Stratégie Nationale de Développement de la Statistique (SNDS 2019-2023).	1	1
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	In fact the current strategic plan ends in 2019. For 2019 is scheduled to design new generation of strategic plan (2020-2024).	1	1
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	No		
Q01.2b	NextNSDS	R03	If the next NSDS is not being designed, why?	Yes		
