QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes			
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	0	55	59
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	1	38	41
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Aggregates - under condition of attribution of the source; Anonymized microdata â€“ any re-distribution is not foreseen.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Aggregates can be re-distributed for commercial purposes. Anonymized microdata cannot be re-distributed under any circumstances.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Anonymised microdata cannot be redistributed		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Anonymised microdata cannot be redistributed but others can such as data downloads available in proprietary formats on the website of Statistics Mauritius.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	By negotiation		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	For research. Only Danish research environments are granted authorisation. Access is given to anonymised micro data.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	In conformity with Law 226/2009 and Reg. No. 557/2013.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Microdata canÂ´t be re-distributed		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	N/A  The conditions in which (post-release) micro data is available may happen, varying amongst agencies.  For example, to access certain Census Bureau microdata, you have to be a sworn Census Bureau employee.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Never, unless express approval from SIB is obtained		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	No		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Not applicable		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Not for anonymised microdata		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Only aggregates can be distributed for any purposes (commercial and non-commercial).		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Other: Statistics Canada's open license now applies to public use microdata files.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	Under condition of respecting data protection rules		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	free of charge		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	if bilateral agreement is made and a minimal fee is paid		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	only aggregated datrasets for non-commercial purposes with the indication of the source		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	only aggregates can be re-distributed		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	quelques microdonnées sont fournies aux bureaux d'étude privés contre paiement marginal		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	x		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes			
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	0	75	81
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	1	18	19
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	Aggregates - under condition of attribution of the source; Anonymized microdata â€“ any re-distribution is not foreseen.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	Aggregates can be re-distributed for commercial purposes. Anonymized microdata cannot be re-distributed under any circumstances.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	Anonymised microdata cannot be redistributed		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	Anonymised microdata cannot be redistributed but others can such as data downloads available in proprietary formats on the website of Statistics Mauritius.		
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	By negotiation		
