QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		50% or more	Europe	30	32
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		50% or more	Africa	9	10
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01			Americas	3	3
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		50% or more	Oceania	2	2
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		Less than 50%	Asia	4	4
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01			Europe	4	4
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		50% or more	Asia	18	19
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		Less than 50%	Africa	2	2
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		50% or more	Americas	10	11
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01			Africa	6	6
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		Less than 50%	Oceania	1	1
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01		Less than 50%	Europe	1	1
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01			Oceania	1	1
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata	R01			Asia	2	2
