QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	0	Europe	23	25
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	0	Africa	14	15
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	0	Americas	8	9
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	1	Oceania	2	2
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	1	Europe	12	13
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	0	Asia	20	22
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	1	Africa	3	3
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	1	Americas	5	5
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	1	Asia	4	4
Q03.3d	Types of manuals and protocols made available with published data	R01	Protocols for access to anonymized microdata	0	Oceania	2	2
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	0	Europe	18	19
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	0	Africa	14	15
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	0	Americas	9	10
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	1	Oceania	2	2
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	1	Europe	17	18
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	0	Asia	20	22
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	1	Africa	3	3
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	1	Americas	4	4
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	1	Asia	4	4
Q03.3d	Types of manuals and protocols made available with published data	R02	Rules and guidelines for revisions and errors	0	Oceania	2	2
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	0	Europe	22	24
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	0	Africa	11	12
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	0	Americas	7	8
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	1	Oceania	1	1
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	1	Europe	13	14
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	0	Asia	16	17
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	1	Americas	6	6
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	1	Asia	8	9
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	1	Africa	6	6
Q03.3d	Types of manuals and protocols made available with published data	R03	Manuals on data collection, editing, processing, analysis, visualization, etc.	0	Oceania	3	3
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	0	Europe	23	25
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	0	Africa	10	11
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	1	Americas	6	6
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	1	Oceania	2	2
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	1	Europe	12	13
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	0	Americas	7	8
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	0	Asia	14	15
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	1	Africa	7	8
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	1	Asia	10	11
Q03.3d	Types of manuals and protocols made available with published data	R04	Manuals on concepts and definitions	0	Oceania	2	2
