QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		Yes	Europe	29	31
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		Yes	Africa	13	14
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		Yes	Americas	9	10
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		Yes	Oceania	2	2
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No such law exists	Europe	4	4
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No	Americas	3	3
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No such law exists	Asia	8	9
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No such law exists	Africa	3	3
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		Yes	Asia	15	16
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No	Asia	1	1
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No	Europe	2	2
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No	Oceania	1	1
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No such law exists	Oceania	1	1
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No such law exists	Americas	1	1
Q07.5 	A Freedom of Information or Access to Information law covers the NSS	R01		No	Africa	1	1
