QuestionID	QuestionText	BlockID	BlockText	RegionName	N/A	No	Yes
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Africa			18.28
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Americas			13.98
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Asia			25.81
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Europe			37.63
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Oceania			4.3
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Africa	2.15	2.15	13.98
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Americas	2.15	4.3	7.53
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Asia	3.23	2.15	20.43
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Europe	6.45	2.15	29.03
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Oceania		1.08	3.23
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Africa	3.23	2.15	12.9
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Americas	4.3	3.23	6.45
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Asia	6.45		19.35
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Europe	13.98	7.53	16.13
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Oceania	2.15		2.15
