QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Analysis of Information Requests	Articles regarding methodologies and/or experimental estimates invite datauser feedback	Emails, verbal or written comments  from users	Hotline, social network	INFORMATION REQUESTS	Independent reviews purchased by Statistics Norway	Registre des visites de la bibliothèque de l'ANSD	Since 2012, the Rosstat has a Public Council, which is designed to ensure that the needs and interests of citizens of the Russian Federation are taken into account when implementing state policy in the field of official statistics, as well as with a view to undertake public control over Rosstat activities.	Social media	We do not have feedback methods  yet.	Workshp with data journalists	gathering feedback from users requesting statistical information	NA
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R01	User council or organized user group	Africa	11.83	6.45													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R01	User council or organized user group	Americas	8.6	5.38													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R01	User council or organized user group	Asia	11.83	13.98													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R01	User council or organized user group	Europe	5.38	32.26													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R01	User council or organized user group	Oceania	2.15	2.15													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R02	User satisfaction surveys	Africa	8.6	9.68													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R02	User satisfaction surveys	Americas	4.3	9.68													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R02	User satisfaction surveys	Asia	7.53	18.28													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R02	User satisfaction surveys	Europe	2.15	35.48													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R02	User satisfaction surveys	Oceania	1.08	3.23													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R03	Independent review(s) of key stakeholders' satisfaction	Africa	11.83	6.45													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R03	Independent review(s) of key stakeholders' satisfaction	Americas	9.68	4.3													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R03	Independent review(s) of key stakeholders' satisfaction	Asia	16.13	9.68													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R03	Independent review(s) of key stakeholders' satisfaction	Europe	25.81	11.83													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R03	Independent review(s) of key stakeholders' satisfaction	Oceania	2.15	2.15													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R04	User workshops/ stakeholder coordination meetings 	Africa	4.3	13.98													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R04	User workshops/ stakeholder coordination meetings 	Americas	3.23	10.75													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R04	User workshops/ stakeholder coordination meetings 	Asia	3.23	22.58													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R04	User workshops/ stakeholder coordination meetings 	Europe	6.45	31.18													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R04	User workshops/ stakeholder coordination meetings 	Oceania		4.3													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R05	Website traffic analysis	Africa	10.75	7.53													
