QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Comité de pilotage d'enquàªte	One of the functions of the Rosstat Public Council is the consideration of Rosstat's plans for activities.	SURS established statistical advisory committees for individual fields of national statistics. They have a long tradition in the national statistics in Slovenia; they were established in the 1980s and were formally introduced in 1995 with the Decree on the Establishment of Statistical Advisory Committees on the basis of Article 15 of the National Statistics Act. Statistical advisory committees have a significant impact on the development of national statistics in Slovenia at expert level and in cooperation of institutions in common efforts to provide quality, timely and relevant statistics.  Rules of procedures: https://www.stat.si/dokument/5184/StatisticalAdvisoryCommittees_RulesofProcedure_EN.pdf List of statistical advisory committees: Administrative Data Sources Advisory Committee, National Accounts and Financial and Monetary Statistics Advisory Committee, Regional Statistics Advisory Committee, Price Statistics Advisory Committee, Labour Statistics Advisory Committee, Energy Statistics Advisory Committee, Construction Statistics Advisory Committee, Industry and Mining Statistics Advisory Committee, Information Society Statistics Advisory Committee, Education and Training Statistics Advisory Committee, Agriculture, Forestry and Fisheries Statistics Advisory Committee, Crime Statistics Advisory Committee, Culture Statistics Advisory Committee, Natural Resources and Environment Statistics Advisory Committee, Real Estate Statistics Advisory Committee, Domestic Trade and Services Statistics Advisory Committee, Population Statistics Advisory Committee, Research and Development, and Technology Statistics Advisory Committee, Transport Statistics Advisory Committee, Tourism Statistics Advisory Committee, External Trade Statistics Advisory Committee, Health Advisory Committee, Standard of Living and Social Protection Statistics Advisory Committee, Business Statistics Advisory Committee	Various Advisory Committees from public, private, nonprofit and academia stakeholders	we have both user groups and Statistical Council, council deals with stategic advice and a bit of coordination, while user groupps give tehnical advice on specific statistical areas	NA
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Africa	13.98	4.3						
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Americas	9.68	4.3						
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Asia	12.9	12.9						
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Europe	15.05	22.58						
Q01.1a	Mandate of user council or organized user group	R01	Strategic advice on statistical policy and priorities	Oceania	3.23	1.08						
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Africa	13.98	4.3						
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Americas	10.75	3.23						
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Asia	15.05	10.75						
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Europe	21.51	16.13						
Q01.1a	Mandate of user council or organized user group	R02	Technical advice, in general or on specific statistical programmes and topics	Oceania	2.15	2.15						
Q01.1a	Mandate of user council or organized user group	R03	Coordination of statistical activities	Africa	11.83	6.45						
Q01.1a	Mandate of user council or organized user group	R03	Coordination of statistical activities	Americas	9.68	4.3						
Q01.1a	Mandate of user council or organized user group	R03	Coordination of statistical activities	Asia	13.98	11.83						
Q01.1a	Mandate of user council or organized user group	R03	Coordination of statistical activities	Europe	21.51	16.13						
Q01.1a	Mandate of user council or organized user group	R03	Coordination of statistical activities	Oceania	3.23	1.08						
Q01.1a	Mandate of user council or organized user group	R04	Other	Africa	17.2	1.08						
Q01.1a	Mandate of user council or organized user group	R04	Other	Americas	12.9	1.08						
Q01.1a	Mandate of user council or organized user group	R04	Other	Asia	25.81							
Q01.1a	Mandate of user council or organized user group	R04	Other	Europe	34.41	3.23						
Q01.1a	Mandate of user council or organized user group	R04	Other	Oceania	4.3							
Q01.1a	Mandate of user council or organized user group	R05	Other (detail)	Africa			1.08					17.2
Q01.1a	Mandate of user council or organized user group	R05	Other (detail)	Americas						1.08		12.9
Q01.1a	Mandate of user council or organized user group	R05	Other (detail)	Asia								25.81
Q01.1a	Mandate of user council or organized user group	R05	Other (detail)	Europe				1.08	1.08		1.08	34.41
Q01.1a	Mandate of user council or organized user group	R05	Other (detail)	Oceania								4.3
