QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	ABS Corporate Plan	Statistical Plan of Employment	The NSDS is only being implemented now.	federal agencies typically submit 5-yr strategic plans	NA
Q01.2	Planning instruments currently being used by the NSS/NSO	R01	Annual or multiannual work programme	Africa	4.3	13.98					
Q01.2	Planning instruments currently being used by the NSS/NSO	R01	Annual or multiannual work programme	Americas	3.23	10.75					
Q01.2	Planning instruments currently being used by the NSS/NSO	R01	Annual or multiannual work programme	Asia	3.23	22.58					
Q01.2	Planning instruments currently being used by the NSS/NSO	R01	Annual or multiannual work programme	Europe	1.08	36.56					
Q01.2	Planning instruments currently being used by the NSS/NSO	R01	Annual or multiannual work programme	Oceania		4.3					
Q01.2	Planning instruments currently being used by the NSS/NSO	R02	National Strategy for the Development of Statistics (NSDS)	Africa	4.3	13.98					
Q01.2	Planning instruments currently being used by the NSS/NSO	R02	National Strategy for the Development of Statistics (NSDS)	Americas	7.53	6.45					
Q01.2	Planning instruments currently being used by the NSS/NSO	R02	National Strategy for the Development of Statistics (NSDS)	Asia	9.68	16.13					
Q01.2	Planning instruments currently being used by the NSS/NSO	R02	National Strategy for the Development of Statistics (NSDS)	Europe	16.13	21.51					
Q01.2	Planning instruments currently being used by the NSS/NSO	R02	National Strategy for the Development of Statistics (NSDS)	Oceania	2.15	2.15					
Q01.2	Planning instruments currently being used by the NSS/NSO	R03	Sectoral Statistical Plans	Africa	12.9	5.38					
Q01.2	Planning instruments currently being used by the NSS/NSO	R03	Sectoral Statistical Plans	Americas	10.75	3.23					
Q01.2	Planning instruments currently being used by the NSS/NSO	R03	Sectoral Statistical Plans	Asia	18.28	7.53					
Q01.2	Planning instruments currently being used by the NSS/NSO	R03	Sectoral Statistical Plans	Europe	26.88	10.75					
Q01.2	Planning instruments currently being used by the NSS/NSO	R03	Sectoral Statistical Plans	Oceania	4.3						
Q01.2	Planning instruments currently being used by the NSS/NSO	R04	Sub-national Statistical Plans	Africa	17.2	1.08					
Q01.2	Planning instruments currently being used by the NSS/NSO	R04	Sub-national Statistical Plans	Americas	12.9	1.08					
Q01.2	Planning instruments currently being used by the NSS/NSO	R04	Sub-national Statistical Plans	Asia	23.66	2.15					
Q01.2	Planning instruments currently being used by the NSS/NSO	R04	Sub-national Statistical Plans	Europe	33.33	4.3					
Q01.2	Planning instruments currently being used by the NSS/NSO	R04	Sub-national Statistical Plans	Oceania	4.3						
Q01.2	Planning instruments currently being used by the NSS/NSO	R05	None of the above	Africa	18.28						
Q01.2	Planning instruments currently being used by the NSS/NSO	R05	None of the above	Americas	13.98						
Q01.2	Planning instruments currently being used by the NSS/NSO	R05	None of the above	Asia	25.81						
Q01.2	Planning instruments currently being used by the NSS/NSO	R05	None of the above	Europe	37.63						
Q01.2	Planning instruments currently being used by the NSS/NSO	R05	None of the above	Oceania	4.3						
Q01.2	Planning instruments currently being used by the NSS/NSO	R06	Other	Africa	17.2	1.08					
Q01.2	Planning instruments currently being used by the NSS/NSO	R06	Other	Americas	11.83	2.15					
Q01.2	Planning instruments currently being used by the NSS/NSO	R06	Other	Asia	25.81						
Q01.2	Planning instruments currently being used by the NSS/NSO	R06	Other	Europe	37.63						
Q01.2	Planning instruments currently being used by the NSS/NSO	R06	Other	Oceania	3.23	1.08					
Q01.2	Planning instruments currently being used by the NSS/NSO	R07	Other (detail)	Africa					1.08		17.2
Q01.2	Planning instruments currently being used by the NSS/NSO	R07	Other (detail)	Americas				1.08		1.08	11.83
Q01.2	Planning instruments currently being used by the NSS/NSO	R07	Other (detail)	Asia							25.81
Q01.2	Planning instruments currently being used by the NSS/NSO	R07	Other (detail)	Europe							37.63
Q01.2	Planning instruments currently being used by the NSS/NSO	R07	Other (detail)	Oceania			1.08				3.23
