QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Data users are also able to sign up for email notifications	Quarterly press conferences	geoportal, infographics, etc.	NA
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	Africa	2.15	16.13				
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	Americas	1.08	12.9				
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	Asia	2.15	23.66				
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	Europe	2.15	35.48				
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	Oceania	2.15	2.15				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	Africa	4.3	13.98				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	Americas	4.3	9.68				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	Asia	10.75	15.05				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	Europe	7.53	30.11				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	Oceania	2.15	2.15				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	Africa	7.53	10.75				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	Americas	1.08	12.9				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	Asia	6.45	19.35				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	Europe		37.63				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	Oceania	2.15	2.15				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	Africa	5.38	12.9				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	Americas	4.3	9.68				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	Asia	7.53	18.28				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	Europe	8.6	29.03				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	Oceania	1.08	3.23				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	Africa	1.08	17.2				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	Americas		13.98				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	Asia		25.81				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	Europe		37.63				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	Oceania	1.08	3.23				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Africa	7.53	10.75				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Americas	1.08	12.9				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Asia	3.23	22.58				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Europe	3.23	34.41				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	Oceania	1.08	3.23				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Africa	9.68	8.6				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Americas	4.3	9.68				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Asia	6.45	19.35				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Europe	5.38	32.26				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	Oceania		4.3				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Africa	13.98	4.3				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Americas	6.45	7.53				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Asia	13.98	11.83				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Europe	6.45	31.18				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	Oceania	1.08	3.23				
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	Africa	13.98	4.3				
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	Americas	8.6	5.38				
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	Asia	20.43	5.38				
