QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Academicians, investigators	Cabinet, Ministry of Finance and Economic Development	Central Bank, Commission for Statistics	Council of Economic Advisors, to brief the President	Inter-Agency Planning Group (IAPG) involving only related central planning agency	Media but in a secure lockup room. They cannot publish prior to official release by Statistics Canada.	News agencies	None	Our law and policy do not allow for the access to statistics prior to the release.	Possible exemptions for paid assignments, but in case this is announced for the users	SIB's Board of Directors	The Federal Law of November 29, 2007 No. 282-Ð¤Ð— â€œOn Official Statistical Accounting and the System of State Statistics in the Russian Federationâ€ does not provide an access to statistical data prior to their public release.	The Minister responsible for Statistics and the Financial Secretary	We changed our policy in 2018. we stopped pre-releases for any media / news agencies	NA
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R01	Media	Africa	17.2	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R01	Media	Americas	13.98																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R01	Media	Asia	20.43	5.38															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R01	Media	Europe	31.18	6.45															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R01	Media	Oceania	3.23	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R02	Government departments/policy-makers	Africa	10.75	7.53															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R02	Government departments/policy-makers	Americas	4.3	9.68															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R02	Government departments/policy-makers	Asia	15.05	10.75															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R02	Government departments/policy-makers	Europe	24.73	12.9															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R02	Government departments/policy-makers	Oceania	1.08	3.23															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R03	Workers' unions	Africa	17.2	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R03	Workers' unions	Americas	13.98																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R03	Workers' unions	Asia	24.73	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R03	Workers' unions	Europe	37.63																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R03	Workers' unions	Oceania	4.3																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R04	Chamber of commerce or other business networks	Africa	17.2	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R04	Chamber of commerce or other business networks	Americas	13.98																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R04	Chamber of commerce or other business networks	Asia	23.66	2.15															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R04	Chamber of commerce or other business networks	Europe	37.63																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R04	Chamber of commerce or other business networks	Oceania	4.3																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R05	International organizations, including IFIs	Africa	15.05	3.23															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R05	International organizations, including IFIs	Americas	13.98																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R05	International organizations, including IFIs	Asia	23.66	2.15															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R05	International organizations, including IFIs	Europe	35.48	2.15															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R05	International organizations, including IFIs	Oceania	3.23	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R06	None of the above	Africa	8.6	9.68															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R06	None of the above	Americas	11.83	2.15															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R06	None of the above	Asia	12.9	12.9															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R06	None of the above	Europe	16.13	21.51															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R06	None of the above	Oceania	3.23	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R07	Other	Africa	15.05	3.23															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R07	Other	Americas	8.6	5.38															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R07	Other	Asia	24.73	1.08															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R07	Other	Europe	32.26	5.38															
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R07	Other	Oceania	4.3																
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R08	Other (detail)	Africa			1.08								1.08				1.08		15.05
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R08	Other (detail)	Americas				1.08	1.08	1.08		1.08					1.08				8.6
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R08	Other (detail)	Asia							1.08										24.73
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R08	Other (detail)	Europe									1.08	1.08		1.08		1.08		1.08	32.26
Q01.6	Groups of users given access to statistics prior to their public release in the past five years	R08	Other (detail)	Oceania																	4.3
