QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	According to the data dissemination policy	Aggregated official statistics and publicly available anonymised microdata are available free of charge and without pre-registration.	All standard aggregate data is provided online and free of charge.  It is governed by an open license:  https://www.statcan.gc.ca/eng/reference/licence	All statistical information produced according to the Official Statistics Work Programme is published and provided for the general public free of charge on the Official Statistics Portal. Statistics Lithuania also provides statistical information on individual request (enquiry). Individual request (enquiry) is a request by a user to provide him/her with a certain piece of statistical information, submitted via the Official Statistics Portal. A response to the request (enquiry) is prepared by the divisions of Statistics Lithuania within the area of their competence. Statistical information collected, processed and published under the Official Statistics Work Programme on the Official Statistics Portal and released according to the Catalogue of Statistical Publications is available free of charge. Responses to statistical enquiries are to be paid for only if additional or more detail statistical information is requested than indicated in the Official Statistics Work Programme. Confidential statistical data can be provided for scientific purposes to the researchers of national and foreign higher education and research institutions as defined in the Law on Higher Education and Research of the Republic of Lithuania; also to researchers of institutions mentioned in 2012/200/EU: Commission Decision of 18 April 2012 amending Decision 2004/452/EC laying down a list of bodies whose researchers may access confidential data for scientific purposes. Confidential statistical data are provided on an electronic medium or a remote desktop, in a manner that does not enable the direct identification of the respondent. Strict protocols apply to external users accessing statistical microdata for research purposes.	By applying for access through Microdata Access Program	By negotiation	Everybode has free and eqaul access to aggregated data. Access to microdata is given only to reasearchers and others that are approved for this.	For free and we do not have any licensing agreement or terms of use per se.	For free at the statistical portal, and open data site under condition to mention the data source.	For free.	Free	Free of charge and so far no registration necessary (will change soon)	L'accès est libre et gratuit	Les données peuvent àªtre consultées sans coà»t et sans contrat de licence	Microdata can be accessed for scientific purposes after signing an agreement, which is usually done for a fee. Aggregates can be accessed online without any restrictions.	Not applicable. Currently working on the development for publishing micro data	On the online data on free accessible.	They are published on the web INEC	accès gratuit et libre pour les statistiques et les microdonnées anonymisées en ligne	at no cost to user	data warehouse available online, user can access without registration	free of charge	memorandum of understanding (MoU) - Selected Micro Data	www.microdata.no	x	NA
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	Africa	16.13	2.15																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	Americas	12.9	1.08																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	Asia	17.2	8.6																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	Europe	29.03	8.6																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	Oceania	2.15	2.15																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	Africa	15.05	3.23																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	Americas	11.83	2.15																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	Asia	20.43	5.38																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	Europe	31.18	6.45																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	Oceania	3.23	1.08																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	Africa	11.83	6.45																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	Americas	3.23	10.75																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	Asia	10.75	15.05																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	Europe	12.9	24.73																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	Oceania	1.08	3.23																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	Africa	17.2	1.08																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	Americas	9.68	4.3																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	Asia	17.2	8.6																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	Europe	24.73	12.9																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	Oceania	2.15	2.15																										
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	Africa								1.08		1.08			1.08		1.08	1.08		1.08			1.08							10.75
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	Americas					1.08		1.08							1.08						1.08		1.08		1.08				7.53
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	Asia			1.08																				1.08		1.08		1.08	21.51
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	Europe				1.08		1.08			1.08		1.08	1.08					1.08		1.08							1.08		29.03
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	Oceania																												4.3
