QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	In US, some executive managers are political appointees, but most senior managers, including many heads of NSOs, are career civil servants (SES).  While there may not be explicit legislation for civilian hirees, there are Human Resources guidelines.	Legislation of the Russian Federation	Presidential Decree	Regulations for government employees also holds for the DG of the NSO	The Governor in Council  (GIC) appoints the Chief Statistician to be deputy head. The Chief Statistician will hold office for a term of not more than five (5) years, during good behaviour but may be removed for cause by the GIC. The Chief Statistician is eligible for reappointment for an additional term not exceeding five (5) years. The law provides for interim appointments not exceeding six (6) months in event of absence or incapacity of the Chief Statistician.	The listed and other aspects of the appointment and release from office of public servants are regulated by the Law on Public Service in the Republic of Belarus, Presidential Decree On certain issues of state statistics bodies No. 445 of 26 August 2008, and Presidential Decree On certain measures to improve personnel management within the system of public bodies No. 557 of 2 November 2011.	This is partlyregulated in STATEC's law and in the laws ruling civil servants carreers.	is a Polish citizen, enjoys full civil rights, has never been penalised for a deliberate criminal offence or a deliberate fiscal offence, has at least 6 years' professional experience, including at least 3 years' professional experience as an executive.	NA
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R01	Qualifications	Africa	8.6	9.68									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R01	Qualifications	Americas	5.38	8.6									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R01	Qualifications	Asia	6.45	19.35									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R01	Qualifications	Europe	9.68	27.96									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R01	Qualifications	Oceania	1.08	3.23									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R02	Selection procedure	Africa	11.83	6.45									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R02	Selection procedure	Americas	5.38	8.6									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R02	Selection procedure	Asia	7.53	18.28									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R02	Selection procedure	Europe	6.45	31.18									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R02	Selection procedure	Oceania	1.08	3.23									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R03	Length of appointment	Africa	10.75	7.53									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R03	Length of appointment	Americas	7.53	6.45									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R03	Length of appointment	Asia	11.83	13.98									
