QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Before a new statistical product is released, there is extensive vetting of methodologies, including external consultants (international, academia, etc.)	By communicating with the NSO members.	Certification System of Statitistical Quality	Con un Comité Consultivo	European Union Statistical regulations	Eurostat Experts' regular statistical reviews of key statistical areas (e.g. methodological discussion on excessive deficit procedure (EDP) statistics and government finance statistics; information relating to the Lithuanian GNI data and inventory of sources and methods; review of statistical practices used to compile the HICP); OECD experts' review on the compliance with the OECD Council Recommendation on Good Statistical Practice.	Peer reviews on the European statistics Code of Practice	The Methodological Council was set up in order to have a review of the used statistical methods from the external experts of the academic community. New statistical surveys or surveys which are subject to a major revision are discussed by the Methodological Council, which issues an opinion about the proposed changes. It is composed of ten members appointed by the SURS's Director-General. Three members are the employees of SURS and seven members are outside members â€“ experts from the field of statistical methodology from different scientific disciplines (in practice they are well known professors of statistics from the Universities). The Council is headed by the head of the Sector for Processes and Communication. The work of the Council is defined by the Instruction on the procedure for verification and approval of statistical surveys' methodology. Authorized producers are invited to participate at the sessions of the Council as observers, as well as to present their own statistical survey and benefit from the view of the experts.	NA
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R01	By authorizing statistical or methodological councils to take formal decisions on the methodology	Africa	15.05	3.23									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R01	By authorizing statistical or methodological councils to take formal decisions on the methodology	Americas	13.98										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R01	By authorizing statistical or methodological councils to take formal decisions on the methodology	Asia	13.98	11.83									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R01	By authorizing statistical or methodological councils to take formal decisions on the methodology	Europe	22.58	15.05									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R01	By authorizing statistical or methodological councils to take formal decisions on the methodology	Oceania	2.15	2.15									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R02	By using internationally recommended standards and methods	Africa		18.28									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R02	By using internationally recommended standards and methods	Americas	1.08	12.9									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R02	By using internationally recommended standards and methods	Asia		25.81									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R02	By using internationally recommended standards and methods	Europe	3.23	34.41									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R02	By using internationally recommended standards and methods	Oceania		4.3									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R03	By fully disclosing the applied methodology(ies)	Africa	9.68	8.6									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R03	By fully disclosing the applied methodology(ies)	Americas	3.23	10.75									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R03	By fully disclosing the applied methodology(ies)	Asia	9.68	16.13									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R03	By fully disclosing the applied methodology(ies)	Europe	13.98	23.66									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R03	By fully disclosing the applied methodology(ies)	Oceania		4.3									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R04	By publishing revision policy(ies) and other procedural manuals	Africa	11.83	6.45									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R04	By publishing revision policy(ies) and other procedural manuals	Americas	5.38	8.6									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R04	By publishing revision policy(ies) and other procedural manuals	Asia	12.9	12.9									
