QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Provide consultation and training for the adoption of international standard and classification	Statistics Canada coordinates standards by developing, publishing and promoting the use of harmonized definitional metadata standards including variables, statistical classifications and extensive classification indexes for coding to the major classifications.  Definitional metadata standards are developed for social statistics, economic statistics and geographic areas. Directives and policies are in place to ensure that statistical programs are aware of the level of metadata required and the need to use the harmonized definitional metadata including variables and classifications within statistical programs.	The Committe of official statistics coordinates with STATEC the NSS. This committee owns several sub-groups/task forces to deal, amongst others, with methodological issues. That	The statistical legislation sets the requirements to the development, approval and use of classifications within the NSS; Belstat collaborates with government bodies and organizations on the development of classifications; Belstat undertakes work on harmonization of national classifications with international classifications.	in the process of strengthening NSS	no ONAs in the country	NA
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R01	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Africa	4.3	13.98							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R01	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Americas	2.15	11.83							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R01	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Asia	2.15	23.66							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R01	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Europe	5.38	32.26							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R01	The NSO compiles, publishes and promotes the consistent use of standards and classifications	Oceania		4.3							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R02	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	Africa	6.45	11.83							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R02	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	Americas	8.6	5.38							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R02	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	Asia	9.68	16.13							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R02	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	Europe	17.2	20.43							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R02	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so	Oceania	2.15	2.15							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R03	The NSO monitors compliance with classifications and standards	Africa	9.68	8.6							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R03	The NSO monitors compliance with classifications and standards	Americas	6.45	7.53							
