QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	DOSM Transformation Plan, 2015-2020	Federal employees are required to take Annual Ethics training.  There are also additional ethics training for specific careers, such as contracting and budget officers, etc.	Fundamental Principles of Official Statistics and ISI Declaration of Professional Ethics	Law on Civil Service	ON THE APPLICATION OF THE DECLARATION ON PROFESSIONAL ETHICS has been translated into Armenian and approved by the State Council on Statistics and posted on the website at https://www.armstat.am/file/doc/Ethics.pdf	Philippine Statistical Association, Inc.'s Code of Ethics for Statisticians	Statut du personnel, Règlement intérieur	The Law on Public Service in the Republic of Belarus, the Rules of professional ethics of public servants of state statistics bodies	engagement of confidentiality	ethical code for civil servants	NA
Q02.6	Document(s) providing guidance on professional ethics for staff	R01	Statistical law	Africa		18.28											
Q02.6	Document(s) providing guidance on professional ethics for staff	R01	Statistical law	Americas	2.15	11.83											
Q02.6	Document(s) providing guidance on professional ethics for staff	R01	Statistical law	Asia	4.3	21.51											
Q02.6	Document(s) providing guidance on professional ethics for staff	R01	Statistical law	Europe	6.45	31.18											
Q02.6	Document(s) providing guidance on professional ethics for staff	R01	Statistical law	Oceania	1.08	3.23											
Q02.6	Document(s) providing guidance on professional ethics for staff	R02	Internal regulations and staff rules	Africa	4.3	13.98											
Q02.6	Document(s) providing guidance on professional ethics for staff	R02	Internal regulations and staff rules	Americas	1.08	12.9											
Q02.6	Document(s) providing guidance on professional ethics for staff	R02	Internal regulations and staff rules	Asia	2.15	23.66											
Q02.6	Document(s) providing guidance on professional ethics for staff	R02	Internal regulations and staff rules	Europe	9.68	27.96											
Q02.6	Document(s) providing guidance on professional ethics for staff	R02	Internal regulations and staff rules	Oceania	1.08	3.23											
Q02.6	Document(s) providing guidance on professional ethics for staff	R03	Codes of conduct for civil servants	Africa	7.53	10.75											
Q02.6	Document(s) providing guidance on professional ethics for staff	R03	Codes of conduct for civil servants	Americas	3.23	10.75											
Q02.6	Document(s) providing guidance on professional ethics for staff	R03	Codes of conduct for civil servants	Asia	7.53	18.28											
Q02.6	Document(s) providing guidance on professional ethics for staff	R03	Codes of conduct for civil servants	Europe	7.53	30.11											
Q02.6	Document(s) providing guidance on professional ethics for staff	R03	Codes of conduct for civil servants	Oceania		4.3											
Q02.6	Document(s) providing guidance on professional ethics for staff	R04	Specific codes for statistical personnel	Africa	10.75	7.53											
Q02.6	Document(s) providing guidance on professional ethics for staff	R04	Specific codes for statistical personnel	Americas	6.45	7.53											
Q02.6	Document(s) providing guidance on professional ethics for staff	R04	Specific codes for statistical personnel	Asia	19.35	6.45											
Q02.6	Document(s) providing guidance on professional ethics for staff	R04	Specific codes for statistical personnel	Europe	18.28	19.35											
Q02.6	Document(s) providing guidance on professional ethics for staff	R04	Specific codes for statistical personnel	Oceania	2.15	2.15											
Q02.6	Document(s) providing guidance on professional ethics for staff	R05	None of the above	Africa	18.28												
Q02.6	Document(s) providing guidance on professional ethics for staff	R05	None of the above	Americas	13.98												
Q02.6	Document(s) providing guidance on professional ethics for staff	R05	None of the above	Asia	25.81												
Q02.6	Document(s) providing guidance on professional ethics for staff	R05	None of the above	Europe	37.63												
Q02.6	Document(s) providing guidance on professional ethics for staff	R05	None of the above	Oceania	4.3												
Q02.6	Document(s) providing guidance on professional ethics for staff	R06	Other	Africa	17.2	1.08											
Q02.6	Document(s) providing guidance on professional ethics for staff	R06	Other	Americas	11.83	2.15											
Q02.6	Document(s) providing guidance on professional ethics for staff	R06	Other	Asia	22.58	3.23											
Q02.6	Document(s) providing guidance on professional ethics for staff	R06	Other	Europe	33.33	4.3											
Q02.6	Document(s) providing guidance on professional ethics for staff	R06	Other	Oceania	4.3												
Q02.6	Document(s) providing guidance on professional ethics for staff	R07	Other (detail)	Africa									1.08				17.2
Q02.6	Document(s) providing guidance on professional ethics for staff	R07	Other (detail)	Americas				1.08	1.08								11.83
Q02.6	Document(s) providing guidance on professional ethics for staff	R07	Other (detail)	Asia			1.08				1.08	1.08					22.58
Q02.6	Document(s) providing guidance on professional ethics for staff	R07	Other (detail)	Europe						1.08				1.08	1.08	1.08	33.33
Q02.6	Document(s) providing guidance on professional ethics for staff	R07	Other (detail)	Oceania													4.3
