QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Attaching the internal regulations by e-mail	Emails are sent out, as necessary.  For example, before an election, an email regarding the Hatch Act is usually sent out.	In the INE, through the memorandum, all personnel were informed about the Code of Ethics	Junior Employee Book	Receipt of the relevant laws and guidelines	Statistics Canada employees are required to follow confidentiality and privacy awareness training at start of employment and every three (3) years. A framework of policies, directives, guidelines and tools are available to employees. An annual security awareness event is held at Statistics Canada headquarters.	THERE IS NO CODE OF CONDUCT	The swearing in is mainly for survey enumerators because permanent staff sign oaths of secrecy.	annual information on compliance with civil service rules and ethics of the civil service corps; Information plates with the rules of the civil service and the rules of ethics of the civil service corps located in the premisses of Statistics Poland.	during initial training	NA
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R01	Orientation and training programmes and seminars	Africa	3.23	15.05											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R01	Orientation and training programmes and seminars	Americas	2.15	11.83											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R01	Orientation and training programmes and seminars	Asia	7.53	18.28											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R01	Orientation and training programmes and seminars	Europe	10.75	26.88											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R01	Orientation and training programmes and seminars	Oceania		4.3											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R02	Swearing in of new staff and receipt of the relevant laws and guidelines	Africa	10.75	7.53											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R02	Swearing in of new staff and receipt of the relevant laws and guidelines	Americas	5.38	8.6											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R02	Swearing in of new staff and receipt of the relevant laws and guidelines	Asia	10.75	15.05											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R02	Swearing in of new staff and receipt of the relevant laws and guidelines	Europe	11.83	25.81											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R02	Swearing in of new staff and receipt of the relevant laws and guidelines	Oceania	1.08	3.23											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R03	Handbooks, booklets, posters and the Intranet	Africa	5.38	12.9											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R03	Handbooks, booklets, posters and the Intranet	Americas	3.23	10.75											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R03	Handbooks, booklets, posters and the Intranet	Asia	7.53	18.28											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R03	Handbooks, booklets, posters and the Intranet	Europe	15.05	22.58											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R03	Handbooks, booklets, posters and the Intranet	Oceania	2.15	2.15											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R04	None of the above	Africa	17.2	1.08											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R04	None of the above	Americas	13.98												
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R04	None of the above	Asia	25.81												
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R04	None of the above	Europe	37.63												
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R04	None of the above	Oceania	4.3												
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R05	Other	Africa	16.13	2.15											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R05	Other	Americas	9.68	4.3											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R05	Other	Asia	24.73	1.08											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R05	Other	Europe	34.41	3.23											
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R05	Other	Oceania	4.3												
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R06	Other (detail)	Africa			1.08							1.08			16.13
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R06	Other (detail)	Americas				1.08	1.08		1.08	1.08					9.68
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R06	Other (detail)	Asia									1.08				24.73
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R06	Other (detail)	Europe						1.08					1.08	1.08	34.41
Q02.7	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	R06	Other (detail)	Oceania													4.3
