QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Dedicated dissemination staff for responding to requests; press conferences and media appearances; social media	Electronic services and mobile services	L'ANSD dispose d'une bibliothèque ouvert au public.	Mobile App developed by  the SCI for statistical data  dissemination.	Notas de Prensa	Open data registered at the National Catalogue of Open Data	Press Conferences	Press conferences, seminars, national conferences	Published on the website	Research Data Centres, Public Use Microdata Files	SIGNAGE SYSTEM, SOCIAL MEDIA	Safe Centre (research room)	Social Media such as Facebook, twitter, press releases, whasapp group and so on.	Social media (Facebook, Twitter), RSS, access in SURS's secure room	Social media platforms including Twitter	Social media, such as Twitter, Facebook and the WordPress blog, mobile application.	Social networks	UBOSAPP	Via media releases	press conferences, news briefings, dissemination forum	press releases	social media, networks, mass media	social media, user support solutions; Local Data Bank, National Official Business Register (REGON) and National Official Register of the Territorial Division of the Country (TERYT) are equipped with API. Statistics' Poland objective is to provide API to all statistical databases as well as to disseminate all data sets published on our website in open formats	NA
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R01	NSO Website	Africa		18.28																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R01	NSO Website	Americas		13.98																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R01	NSO Website	Asia	1.08	24.73																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R01	NSO Website	Europe	1.08	36.56																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R01	NSO Website	Oceania		4.3																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R02	Other official NSS website(s)	Africa	7.53	10.75																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R02	Other official NSS website(s)	Americas	5.38	8.6																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R02	Other official NSS website(s)	Asia	9.68	16.13																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R02	Other official NSS website(s)	Europe	16.13	21.51																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R02	Other official NSS website(s)	Oceania	3.23	1.08																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R03	Data portal	Africa	4.3	13.98																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R03	Data portal	Americas	9.68	4.3																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R03	Data portal	Asia	8.6	17.2																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R03	Data portal	Europe	13.98	23.66																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R03	Data portal	Oceania	1.08	3.23																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R04	CD/DVD	Africa	11.83	6.45																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R04	CD/DVD	Americas	9.68	4.3																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R04	CD/DVD	Asia	8.6	17.2																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R04	CD/DVD	Europe	23.66	13.98																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R04	CD/DVD	Oceania	2.15	2.15																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R05	Printed material	Africa	1.08	17.2																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R05	Printed material	Americas	3.23	10.75																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R05	Printed material	Asia	3.23	22.58																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R05	Printed material	Europe	5.38	32.26																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R05	Printed material	Oceania		4.3																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R06	None of the above	Africa	18.28																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R06	None of the above	Americas	13.98																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R06	None of the above	Asia	25.81																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R06	None of the above	Europe	37.63																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R06	None of the above	Oceania	4.3																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R07	Other	Africa	15.05	3.23																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R07	Other	Americas	8.6	5.38																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R07	Other	Asia	18.28	7.53																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R07	Other	Europe	27.96	9.68																								
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R07	Other	Oceania	4.3																									
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R08	Other (detail)	Africa					1.08															1.08	1.08					15.05
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R08	Other (detail)	Americas			1.08				1.08		1.08			1.08							1.08							8.6
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R08	Other (detail)	Asia				1.08		1.08					1.08		1.08		1.08							1.08		1.08		18.28
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R08	Other (detail)	Europe								1.08		1.08				1.08		1.08	1.08	1.08	1.08				1.08		1.08	27.96
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	R08	Other (detail)	Oceania																										4.3
