QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	All ABS Publications have a data quality declaration based on the ABS Data Quality Framework	CBS' Database of Quality Information (metadata repository)	No information  on quality of published data is provided to the users , but  in the  weighing method  non-  response  rate  is implicitly  mentioned.	Statistics Canada uses a variety of methods to ensure our users are well informed about quality.	via metadata descriptions.	websites generally include extensive methodology documents; including documents on key assumptions for missing data.  For example, for "advance" GDP, many key assumptions are made for the missing key source data for the third month of the quarter.	NA
Q03.2	How users are informed of the quality of published data	R01	As part of metadata provided with the data	Africa	5.38	12.9							
Q03.2	How users are informed of the quality of published data	R01	As part of metadata provided with the data	Americas	3.23	10.75							
Q03.2	How users are informed of the quality of published data	R01	As part of metadata provided with the data	Asia	3.23	22.58							
Q03.2	How users are informed of the quality of published data	R01	As part of metadata provided with the data	Europe	5.38	32.26							
Q03.2	How users are informed of the quality of published data	R01	As part of metadata provided with the data	Oceania	1.08	3.23							
Q03.2	How users are informed of the quality of published data	R02	Via methodological notes	Africa	4.3	13.98							
Q03.2	How users are informed of the quality of published data	R02	Via methodological notes	Americas	1.08	12.9							
Q03.2	How users are informed of the quality of published data	R02	Via methodological notes	Asia	4.3	21.51							
Q03.2	How users are informed of the quality of published data	R02	Via methodological notes	Europe	4.3	33.33							
Q03.2	How users are informed of the quality of published data	R02	Via methodological notes	Oceania		4.3							
Q03.2	How users are informed of the quality of published data	R03	Via quality reports	Africa	13.98	4.3							
Q03.2	How users are informed of the quality of published data	R03	Via quality reports	Americas	8.6	5.38							
Q03.2	How users are informed of the quality of published data	R03	Via quality reports	Asia	17.2	8.6							
Q03.2	How users are informed of the quality of published data	R03	Via quality reports	Europe	4.3	33.33							
Q03.2	How users are informed of the quality of published data	R03	Via quality reports	Oceania	1.08	3.23							
Q03.2	How users are informed of the quality of published data	R04	In meetings to address data quality  	Africa	6.45	11.83							
Q03.2	How users are informed of the quality of published data	R04	In meetings to address data quality  	Americas	7.53	6.45							
Q03.2	How users are informed of the quality of published data	R04	In meetings to address data quality  	Asia	9.68	16.13							
Q03.2	How users are informed of the quality of published data	R04	In meetings to address data quality  	Europe	21.51	16.13							
Q03.2	How users are informed of the quality of published data	R04	In meetings to address data quality  	Oceania		4.3							
Q03.2	How users are informed of the quality of published data	R05	None of the above	Africa	17.2	1.08							
Q03.2	How users are informed of the quality of published data	R05	None of the above	Americas	12.9	1.08							
Q03.2	How users are informed of the quality of published data	R05	None of the above	Asia	24.73	1.08							
Q03.2	How users are informed of the quality of published data	R05	None of the above	Europe	37.63								
Q03.2	How users are informed of the quality of published data	R05	None of the above	Oceania	4.3								
Q03.2	How users are informed of the quality of published data	R06	Other	Africa	18.28								
Q03.2	How users are informed of the quality of published data	R06	Other	Americas	11.83	2.15							
Q03.2	How users are informed of the quality of published data	R06	Other	Asia	24.73	1.08							
Q03.2	How users are informed of the quality of published data	R06	Other	Europe	35.48	2.15							
Q03.2	How users are informed of the quality of published data	R06	Other	Oceania	3.23	1.08							
Q03.2	How users are informed of the quality of published data	R07	Other (detail)	Africa									18.28
Q03.2	How users are informed of the quality of published data	R07	Other (detail)	Americas						1.08		1.08	11.83
Q03.2	How users are informed of the quality of published data	R07	Other (detail)	Asia					1.08				24.73
Q03.2	How users are informed of the quality of published data	R07	Other (detail)	Europe				1.08			1.08		35.48
Q03.2	How users are informed of the quality of published data	R07	Other (detail)	Oceania			1.08						3.23
