QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Analysis of data	Concepts and Definitions, Scope & Data Sources are provided in historical series and data published in reports and social and economic indicators.	Data users receive no information  on quality of data. Only in weighing method , non-response issue is implicitly  explained.	INE publish ESMS (SDMX) metadata with each statistics	SingStat Website has videos and infographics to explain statistical concepts and data, and the statistical tables on SingStat Table Builder contains explanatory footnotes.	Statistical Analyses	each section of the yearbook has methodological notes	press releases	NA
Q03.3	Types of explanatory texts that accompany published data	R01	Erratum or any other form of error correction	Africa	6.45	11.83									
Q03.3	Types of explanatory texts that accompany published data	R01	Erratum or any other form of error correction	Americas	5.38	8.6									
Q03.3	Types of explanatory texts that accompany published data	R01	Erratum or any other form of error correction	Asia	16.13	9.68									
Q03.3	Types of explanatory texts that accompany published data	R01	Erratum or any other form of error correction	Europe	9.68	27.96									
Q03.3	Types of explanatory texts that accompany published data	R01	Erratum or any other form of error correction	Oceania	1.08	3.23									
Q03.3	Types of explanatory texts that accompany published data	R02	Notifications of major methodological changes	Africa	6.45	11.83									
Q03.3	Types of explanatory texts that accompany published data	R02	Notifications of major methodological changes	Americas	2.15	11.83									
Q03.3	Types of explanatory texts that accompany published data	R02	Notifications of major methodological changes	Asia	7.53	18.28									
Q03.3	Types of explanatory texts that accompany published data	R02	Notifications of major methodological changes	Europe	4.3	33.33									
Q03.3	Types of explanatory texts that accompany published data	R02	Notifications of major methodological changes	Oceania		4.3									
Q03.3	Types of explanatory texts that accompany published data	R03	Metadata associated with each dataset	Africa	6.45	11.83									
Q03.3	Types of explanatory texts that accompany published data	R03	Metadata associated with each dataset	Americas	3.23	10.75									
Q03.3	Types of explanatory texts that accompany published data	R03	Metadata associated with each dataset	Asia	2.15	23.66									
Q03.3	Types of explanatory texts that accompany published data	R03	Metadata associated with each dataset	Europe	4.3	33.33									
Q03.3	Types of explanatory texts that accompany published data	R03	Metadata associated with each dataset	Oceania	1.08	3.23									
Q03.3	Types of explanatory texts that accompany published data	R04	Guides on interpretation of data used and estimates	Africa	12.9	5.38									
Q03.3	Types of explanatory texts that accompany published data	R04	Guides on interpretation of data used and estimates	Americas	5.38	8.6									
Q03.3	Types of explanatory texts that accompany published data	R04	Guides on interpretation of data used and estimates	Asia	10.75	15.05									
Q03.3	Types of explanatory texts that accompany published data	R04	Guides on interpretation of data used and estimates	Europe	22.58	15.05									
Q03.3	Types of explanatory texts that accompany published data	R04	Guides on interpretation of data used and estimates	Oceania	1.08	3.23									
Q03.3	Types of explanatory texts that accompany published data	R05	Manuals and protocols used by the NSS	Africa	9.68	8.6									
Q03.3	Types of explanatory texts that accompany published data	R05	Manuals and protocols used by the NSS	Americas	6.45	7.53									
Q03.3	Types of explanatory texts that accompany published data	R05	Manuals and protocols used by the NSS	Asia	13.98	11.83									
Q03.3	Types of explanatory texts that accompany published data	R05	Manuals and protocols used by the NSS	Europe	16.13	21.51									
Q03.3	Types of explanatory texts that accompany published data	R05	Manuals and protocols used by the NSS	Oceania	1.08	3.23									
Q03.3	Types of explanatory texts that accompany published data	R06	Other	Africa	17.2	1.08									
Q03.3	Types of explanatory texts that accompany published data	R06	Other	Americas	12.9	1.08									
Q03.3	Types of explanatory texts that accompany published data	R06	Other	Asia	22.58	3.23									
Q03.3	Types of explanatory texts that accompany published data	R06	Other	Europe	34.41	3.23									
Q03.3	Types of explanatory texts that accompany published data	R06	Other	Oceania	4.3										
Q03.3	Types of explanatory texts that accompany published data	R07	None Of The Above	Africa	18.28										
Q03.3	Types of explanatory texts that accompany published data	R07	None Of The Above	Americas	13.98										
Q03.3	Types of explanatory texts that accompany published data	R07	None Of The Above	Asia	25.81										
Q03.3	Types of explanatory texts that accompany published data	R07	None Of The Above	Europe	37.63										
Q03.3	Types of explanatory texts that accompany published data	R07	None Of The Above	Oceania	4.3										
Q03.3	Types of explanatory texts that accompany published data	R08	Other (detail)	Africa				1.08							17.2
Q03.3	Types of explanatory texts that accompany published data	R08	Other (detail)	Americas			1.08								12.9
Q03.3	Types of explanatory texts that accompany published data	R08	Other (detail)	Asia					1.08		1.08		1.08		22.58
Q03.3	Types of explanatory texts that accompany published data	R08	Other (detail)	Europe						1.08		1.08		1.08	34.41
Q03.3	Types of explanatory texts that accompany published data	R08	Other (detail)	Oceania											4.3
