QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	All information defined by the ESS Single Integrated Metadata Structure (SIMS) are published to the users.	Applied international codes such as COICOP and survey questionnaire	ESMS (SDMX) structure	Points of Contacts for the media and other datausers are usually provided	Statistics Canada uses a variety of methods to ensure our users are well informed about quality.  Each statistical program must initially complete and keep up-to-date an accompanying metadata page prior to the release of data. Included on this page are all the options noted above.	Table title, frequency, start period, end period, footnote, unit, data source, URL, formats for download, condition of use.	data sources, accounting conventions	everything requested within ESS standard metadata structures: ESMS and ESQRS	surveys Questionnaires	variable dictionary, forms	NA
Q03.3b	Information included in explanatory texts that accompany published data	R01	Concepts and definitions	Africa	6.45	11.83											
Q03.3b	Information included in explanatory texts that accompany published data	R01	Concepts and definitions	Americas	3.23	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R01	Concepts and definitions	Asia	5.38	20.43											
Q03.3b	Information included in explanatory texts that accompany published data	R01	Concepts and definitions	Europe	5.38	32.26											
Q03.3b	Information included in explanatory texts that accompany published data	R01	Concepts and definitions	Oceania	1.08	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R02	Methodology	Africa	7.53	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R02	Methodology	Americas	3.23	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R02	Methodology	Asia	4.3	21.51											
Q03.3b	Information included in explanatory texts that accompany published data	R02	Methodology	Europe	4.3	33.33											
Q03.3b	Information included in explanatory texts that accompany published data	R02	Methodology	Oceania	1.08	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R03	Classifications and standards	Africa	7.53	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R03	Classifications and standards	Americas	3.23	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R03	Classifications and standards	Asia	5.38	20.43											
Q03.3b	Information included in explanatory texts that accompany published data	R03	Classifications and standards	Europe	4.3	33.33											
Q03.3b	Information included in explanatory texts that accompany published data	R03	Classifications and standards	Oceania	1.08	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R04	Data collection procedures	Africa	7.53	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R04	Data collection procedures	Americas	3.23	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R04	Data collection procedures	Asia	6.45	19.35											
Q03.3b	Information included in explanatory texts that accompany published data	R04	Data collection procedures	Europe	5.38	32.26											
Q03.3b	Information included in explanatory texts that accompany published data	R04	Data collection procedures	Oceania	1.08	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R05	Quality assessments	Africa	11.83	6.45											
Q03.3b	Information included in explanatory texts that accompany published data	R05	Quality assessments	Americas	6.45	7.53											
Q03.3b	Information included in explanatory texts that accompany published data	R05	Quality assessments	Asia	15.05	10.75											
Q03.3b	Information included in explanatory texts that accompany published data	R05	Quality assessments	Europe	10.75	26.88											
Q03.3b	Information included in explanatory texts that accompany published data	R05	Quality assessments	Oceania	3.23	1.08											
Q03.3b	Information included in explanatory texts that accompany published data	R06	Other	Africa	17.2	1.08											
Q03.3b	Information included in explanatory texts that accompany published data	R06	Other	Americas	10.75	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R06	Other	Asia	22.58	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R06	Other	Europe	34.41	3.23											
Q03.3b	Information included in explanatory texts that accompany published data	R06	Other	Oceania	4.3												
Q03.3b	Information included in explanatory texts that accompany published data	R07	None Of The Above	Africa	18.28												
Q03.3b	Information included in explanatory texts that accompany published data	R07	None Of The Above	Americas	13.98												
Q03.3b	Information included in explanatory texts that accompany published data	R07	None Of The Above	Asia	25.81												
Q03.3b	Information included in explanatory texts that accompany published data	R07	None Of The Above	Europe	37.63												
Q03.3b	Information included in explanatory texts that accompany published data	R07	None Of The Above	Oceania	4.3												
Q03.3b	Information included in explanatory texts that accompany published data	R08	Other (detail)	Africa									1.08				17.2
Q03.3b	Information included in explanatory texts that accompany published data	R08	Other (detail)	Americas						1.08	1.08					1.08	10.75
Q03.3b	Information included in explanatory texts that accompany published data	R08	Other (detail)	Asia				1.08				1.08			1.08		22.58
Q03.3b	Information included in explanatory texts that accompany published data	R08	Other (detail)	Europe			1.08		1.08					1.08			34.41
Q03.3b	Information included in explanatory texts that accompany published data	R08	Other (detail)	Oceania													4.3
