QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	ArmStatBank at https://www.armstat.am/en/?nid=13, Armenia SDGs indicators at https://www.armstat.am/en/?nid=655	CZSO provides special applications (Public Database, External Trade, National Accounts) to use by users	IMF Open Data Platform	LankaSis	Mexico open data portal (datos.gob.mx)	NATIONAL SUMMERY PAGE	National Data Portal	National Open Data portal accessible at: https://data.govmu.org/dkan/	National web page (NSDP) on eGDDS	Open Data Portal	Open data - data.public.lu (La plate-forme de données luxembourgeoise); www.grande-region.lu	Oracle databases in-house developed	PC-Axis	PX-Web	PX-web	PxWeb for statistical database	REDATAM for census	ReDATAM	Redatam	STATcube - Statistics Austrias Database	SingStat Mobile Application	StatBank (http://www.statistica.md/pageview.php?l=ro&idc=407) GenderPulse (http://genderpulse.md/?utm_source=Statistica&utm_medium=banner&utm_campaign=main_page),  Census platform (http://recensamant.statistica.md/)	The NSA App as the custom-developed data platform	agency websites	data.gov.my (Malaysia Open Data portal) and IMF (Subscribe with SDDS)	gov. data (German Data Platform)	https://www.data.gouv.fr/, https://www.insee.fr/	own website	the following systems are used to share the data with international organizations: Integrated Correspondence System (ICS) for IMF, FTP for UN.	NA
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	Africa	5.38	12.9																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	Americas	13.98																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	Asia	25.81																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	Europe	37.63																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	Africa	11.83	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	Americas	10.75	3.23																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	Asia	15.05	10.75																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	Europe	26.88	10.75																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	Africa	11.83	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	Americas	13.98																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	Asia	20.43	5.38																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	Europe	33.33	4.3																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	Africa	11.83	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	Americas	11.83	2.15																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	Asia	19.35	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	Europe	34.41	3.23																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	Oceania	3.23	1.08																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	Africa	18.28																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	Americas	13.98																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	Asia	22.58	3.23																														
