QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R01	Once over the five-year period	Africa	16.13	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R01	Once over the five-year period	Americas	12.9	1.08
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R01	Once over the five-year period	Asia	23.66	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R01	Once over the five-year period	Europe	35.48	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R01	Once over the five-year period	Oceania	4.3	
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R02	Twice over the five-year period	Africa	18.28	
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R02	Twice over the five-year period	Americas	10.75	3.23
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R02	Twice over the five-year period	Asia	23.66	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R02	Twice over the five-year period	Europe	31.18	6.45
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R02	Twice over the five-year period	Oceania	3.23	1.08
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R03	Once per year	Africa	16.13	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R03	Once per year	Americas	10.75	3.23
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R03	Once per year	Asia	21.51	4.3
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R03	Once per year	Europe	33.33	4.3
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R03	Once per year	Oceania	4.3	
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R04	Twice or more per year 	Africa	13.98	4.3
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R04	Twice or more per year 	Americas	9.68	4.3
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R04	Twice or more per year 	Asia	19.35	6.45
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R04	Twice or more per year 	Europe	18.28	19.35
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R04	Twice or more per year 	Oceania	3.23	1.08
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R05	None of the above	Africa	18.28	
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R05	None of the above	Americas	11.83	2.15
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R05	None of the above	Asia	24.73	1.08
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R05	None of the above	Europe	36.56	1.08
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	R05	None of the above	Oceania	4.3	
