QuestionID	QuestionText	BlockID	BlockText	RegionName	(a) Quizzes for users on SingStat Website https://www.singstat.gov.sg/find-data/quizzes;  (b) infographics and videographics on SingStat Website, e.g.   https://www.singstat.gov.sg/find-data/search-by-theme/households/household-income/visualising-data, https://www.singstat.gov.sg/find-data/search-by-theme/industry/services/visualising-data	0	1	Hackatons	Producers and users Dialogue	Statistics for schools, 2017(Armenian) at  https://www.armstat.am/am/?nid=82&id=1883, Frequently Asked Questions are posted on the website at https://www.armstat.am/en/?nid=107	Themed content on our website to cover particular statistical stories and make them accessible.	self-learning videos	statistical olympics for high school students	NA
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R01	Publications and booklets tailored for specific groups	Africa		6.45	11.83							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R01	Publications and booklets tailored for specific groups	Americas		3.23	10.75							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R01	Publications and booklets tailored for specific groups	Asia		8.6	17.2							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R01	Publications and booklets tailored for specific groups	Europe		11.83	25.81							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R01	Publications and booklets tailored for specific groups	Oceania		2.15	2.15							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R02	Specific sections for different types of users (e.g. students) on the website	Africa		12.9	5.38							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R02	Specific sections for different types of users (e.g. students) on the website	Americas		6.45	7.53							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R02	Specific sections for different types of users (e.g. students) on the website	Asia		13.98	11.83							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R02	Specific sections for different types of users (e.g. students) on the website	Europe		19.35	18.28							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R02	Specific sections for different types of users (e.g. students) on the website	Oceania		2.15	2.15							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R03	Press conferences or press releases with specific contacts for questions	Africa		7.53	10.75							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R03	Press conferences or press releases with specific contacts for questions	Americas		1.08	12.9							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R03	Press conferences or press releases with specific contacts for questions	Asia		3.23	22.58							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R03	Press conferences or press releases with specific contacts for questions	Europe		3.23	34.41							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R03	Press conferences or press releases with specific contacts for questions	Oceania			4.3							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R04	Use of social media (including publishing videos)	Africa		4.3	13.98							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R04	Use of social media (including publishing videos)	Americas		1.08	12.9							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R04	Use of social media (including publishing videos)	Asia		5.38	20.43							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R04	Use of social media (including publishing videos)	Europe		4.3	33.33							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R04	Use of social media (including publishing videos)	Oceania		1.08	3.23							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R05	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Africa		2.15	16.13							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R05	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Americas		1.08	12.9							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R05	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Asia		6.45	19.35							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R05	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Europe		7.53	30.11							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R05	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Oceania		1.08	3.23							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R06	Seminars -including e-learning-, live chat sessions, podcasts	Africa		8.6	9.68							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R06	Seminars -including e-learning-, live chat sessions, podcasts	Americas		8.6	5.38							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R06	Seminars -including e-learning-, live chat sessions, podcasts	Asia		15.05	10.75							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R06	Seminars -including e-learning-, live chat sessions, podcasts	Europe		11.83	25.81							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R06	Seminars -including e-learning-, live chat sessions, podcasts	Oceania		1.08	3.23							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R07	Participation in external events, such as conferences, book fairs, etc.	Africa		1.08	17.2							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R07	Participation in external events, such as conferences, book fairs, etc.	Americas		3.23	10.75							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R07	Participation in external events, such as conferences, book fairs, etc.	Asia		6.45	19.35							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R07	Participation in external events, such as conferences, book fairs, etc.	Europe		5.38	32.26							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R07	Participation in external events, such as conferences, book fairs, etc.	Oceania			4.3							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R08	Awareness campaigns	Africa		7.53	10.75							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R08	Awareness campaigns	Americas		5.38	8.6							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R08	Awareness campaigns	Asia		10.75	15.05							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R08	Awareness campaigns	Europe		18.28	19.35							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R08	Awareness campaigns	Oceania		2.15	2.15							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R09	None of the above	Africa		18.28								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R09	None of the above	Americas		13.98								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R09	None of the above	Asia		25.81								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R09	None of the above	Europe		36.56	1.08							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R09	None of the above	Oceania		4.3								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R10	Other	Africa		18.28								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R10	Other	Americas		12.9	1.08							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R10	Other	Asia		22.58	3.23							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R10	Other	Europe		34.41	3.23							
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R10	Other	Oceania		4.3								
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R11	Other (detail)	Africa										18.28
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R11	Other (detail)	Americas								1.08		12.9
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R11	Other (detail)	Asia	1.08				1.08	1.08				22.58
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R11	Other (detail)	Europe				1.08			1.08		1.08	34.41
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	R11	Other (detail)	Oceania										4.3
