QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	GPS data collected during listing operations	Private sector financial records and production data	We make extensive use of geospatial data, primarily from the UK's national mapping agency.	data of exhaustive surveys	state and local government data, etc.	NA
Q05.1	Sources of data currently used by the NSO	R01	Sample surveys	Africa		18.28						
Q05.1	Sources of data currently used by the NSO	R01	Sample surveys	Americas		13.98						
Q05.1	Sources of data currently used by the NSO	R01	Sample surveys	Asia		25.81						
Q05.1	Sources of data currently used by the NSO	R01	Sample surveys	Europe	1.08	36.56						
Q05.1	Sources of data currently used by the NSO	R01	Sample surveys	Oceania		4.3						
Q05.1	Sources of data currently used by the NSO	R02	Censuses	Africa	1.08	17.2						
Q05.1	Sources of data currently used by the NSO	R02	Censuses	Americas		13.98						
Q05.1	Sources of data currently used by the NSO	R02	Censuses	Asia	2.15	23.66						
Q05.1	Sources of data currently used by the NSO	R02	Censuses	Europe	3.23	34.41						
Q05.1	Sources of data currently used by the NSO	R02	Censuses	Oceania		4.3						
Q05.1	Sources of data currently used by the NSO	R03	Administrative data	Africa	1.08	17.2						
Q05.1	Sources of data currently used by the NSO	R03	Administrative data	Americas	1.08	12.9						
Q05.1	Sources of data currently used by the NSO	R03	Administrative data	Asia		25.81						
Q05.1	Sources of data currently used by the NSO	R03	Administrative data	Europe		37.63						
Q05.1	Sources of data currently used by the NSO	R03	Administrative data	Oceania		4.3						
Q05.1	Sources of data currently used by the NSO	R04	Privately owned datasets (such as call detail records)	Africa	16.13	2.15						
Q05.1	Sources of data currently used by the NSO	R04	Privately owned datasets (such as call detail records)	Americas	10.75	3.23						
Q05.1	Sources of data currently used by the NSO	R04	Privately owned datasets (such as call detail records)	Asia	21.51	4.3						
Q05.1	Sources of data currently used by the NSO	R04	Privately owned datasets (such as call detail records)	Europe	19.35	18.28						
Q05.1	Sources of data currently used by the NSO	R04	Privately owned datasets (such as call detail records)	Oceania	1.08	3.23						
Q05.1	Sources of data currently used by the NSO	R05	Citizen generated data (from CSOs)	Africa	17.2	1.08						
Q05.1	Sources of data currently used by the NSO	R05	Citizen generated data (from CSOs)	Americas	13.98							
Q05.1	Sources of data currently used by the NSO	R05	Citizen generated data (from CSOs)	Asia	24.73	1.08						
Q05.1	Sources of data currently used by the NSO	R05	Citizen generated data (from CSOs)	Europe	34.41	3.23						
Q05.1	Sources of data currently used by the NSO	R05	Citizen generated data (from CSOs)	Oceania	3.23	1.08						
Q05.1	Sources of data currently used by the NSO	R06	Web scrapped data	Africa	17.2	1.08						
Q05.1	Sources of data currently used by the NSO	R06	Web scrapped data	Americas	8.6	5.38						
Q05.1	Sources of data currently used by the NSO	R06	Web scrapped data	Asia	22.58	3.23						
Q05.1	Sources of data currently used by the NSO	R06	Web scrapped data	Europe	11.83	25.81						
Q05.1	Sources of data currently used by the NSO	R06	Web scrapped data	Oceania	2.15	2.15						
Q05.1	Sources of data currently used by the NSO	R07	Satellite imagery	Africa	12.9	5.38						
Q05.1	Sources of data currently used by the NSO	R07	Satellite imagery	Americas	6.45	7.53						
Q05.1	Sources of data currently used by the NSO	R07	Satellite imagery	Asia	20.43	5.38						
Q05.1	Sources of data currently used by the NSO	R07	Satellite imagery	Europe	29.03	8.6						
Q05.1	Sources of data currently used by the NSO	R07	Satellite imagery	Oceania	2.15	2.15						
Q05.1	Sources of data currently used by the NSO	R08	Other	Africa	18.28							
Q05.1	Sources of data currently used by the NSO	R08	Other	Americas	10.75	3.23						
Q05.1	Sources of data currently used by the NSO	R08	Other	Asia	25.81							
Q05.1	Sources of data currently used by the NSO	R08	Other	Europe	35.48	2.15						
Q05.1	Sources of data currently used by the NSO	R08	Other	Oceania	4.3							
Q05.1	Sources of data currently used by the NSO	R09	Other (detail)	Africa								18.28
Q05.1	Sources of data currently used by the NSO	R09	Other (detail)	Americas			1.08	1.08			1.08	10.75
Q05.1	Sources of data currently used by the NSO	R09	Other (detail)	Asia								25.81
Q05.1	Sources of data currently used by the NSO	R09	Other (detail)	Europe					1.08	1.08		35.48
Q05.1	Sources of data currently used by the NSO	R09	Other (detail)	Oceania								4.3
