QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Data Integration	Linking to census and survey sources to add information content.	Quality Assurance Purposes	Research	NA
Q05.1a	How administrative records are currently used	R01	As a direct source of data (without linking or drawing of inferences)	Africa	3.23	15.05					
Q05.1a	How administrative records are currently used	R01	As a direct source of data (without linking or drawing of inferences)	Americas	2.15	11.83					
Q05.1a	How administrative records are currently used	R01	As a direct source of data (without linking or drawing of inferences)	Asia	2.15	23.66					
Q05.1a	How administrative records are currently used	R01	As a direct source of data (without linking or drawing of inferences)	Europe	1.08	36.56					
Q05.1a	How administrative records are currently used	R01	As a direct source of data (without linking or drawing of inferences)	Oceania		4.3					
Q05.1a	How administrative records are currently used	R02	As a means for estimation (combining multiple records to derive variables)	Africa	8.6	9.68					
Q05.1a	How administrative records are currently used	R02	As a means for estimation (combining multiple records to derive variables)	Americas	4.3	9.68					
Q05.1a	How administrative records are currently used	R02	As a means for estimation (combining multiple records to derive variables)	Asia	6.45	19.35					
Q05.1a	How administrative records are currently used	R02	As a means for estimation (combining multiple records to derive variables)	Europe	2.15	35.48					
Q05.1a	How administrative records are currently used	R02	As a means for estimation (combining multiple records to derive variables)	Oceania		4.3					
Q05.1a	How administrative records are currently used	R03	As sampling frames	Africa	7.53	10.75					
Q05.1a	How administrative records are currently used	R03	As sampling frames	Americas	7.53	6.45					
Q05.1a	How administrative records are currently used	R03	As sampling frames	Asia	9.68	16.13					
Q05.1a	How administrative records are currently used	R03	As sampling frames	Europe	4.3	33.33					
Q05.1a	How administrative records are currently used	R03	As sampling frames	Oceania	1.08	3.23					
Q05.1a	How administrative records are currently used	R04	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	Africa	5.38	12.9					
Q05.1a	How administrative records are currently used	R04	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	Americas	3.23	10.75					
Q05.1a	How administrative records are currently used	R04	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	Asia	8.6	17.2					
Q05.1a	How administrative records are currently used	R04	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	Europe	2.15	35.48					
Q05.1a	How administrative records are currently used	R04	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	Oceania	1.08	3.23					
Q05.1a	How administrative records are currently used	R05	As a supplement to survey or census data, adding information to what was collected in the interviews	Africa	9.68	8.6					
Q05.1a	How administrative records are currently used	R05	As a supplement to survey or census data, adding information to what was collected in the interviews	Americas	6.45	7.53					
Q05.1a	How administrative records are currently used	R05	As a supplement to survey or census data, adding information to what was collected in the interviews	Asia	11.83	13.98					
Q05.1a	How administrative records are currently used	R05	As a supplement to survey or census data, adding information to what was collected in the interviews	Europe	4.3	33.33					
Q05.1a	How administrative records are currently used	R05	As a supplement to survey or census data, adding information to what was collected in the interviews	Oceania	1.08	3.23					
Q05.1a	How administrative records are currently used	R06	As a means to assess non-response to surveys	Africa	12.9	5.38					
Q05.1a	How administrative records are currently used	R06	As a means to assess non-response to surveys	Americas	9.68	4.3					
Q05.1a	How administrative records are currently used	R06	As a means to assess non-response to surveys	Asia	13.98	11.83					
Q05.1a	How administrative records are currently used	R06	As a means to assess non-response to surveys	Europe	12.9	24.73					
Q05.1a	How administrative records are currently used	R06	As a means to assess non-response to surveys	Oceania	2.15	2.15					
Q05.1a	How administrative records are currently used	R07	None of the above	Africa	18.28						
Q05.1a	How administrative records are currently used	R07	None of the above	Americas	13.98						
Q05.1a	How administrative records are currently used	R07	None of the above	Asia	25.81						
Q05.1a	How administrative records are currently used	R07	None of the above	Europe	37.63						
Q05.1a	How administrative records are currently used	R07	None of the above	Oceania	4.3						
Q05.1a	How administrative records are currently used	R08	Other	Africa	18.28						
Q05.1a	How administrative records are currently used	R08	Other	Americas	11.83	2.15					
Q05.1a	How administrative records are currently used	R08	Other	Asia	25.81						
Q05.1a	How administrative records are currently used	R08	Other	Europe	36.56	1.08					
Q05.1a	How administrative records are currently used	R08	Other	Oceania	3.23	1.08					
Q05.1a	How administrative records are currently used	R09	Other (detail)	Africa							18.28
Q05.1a	How administrative records are currently used	R09	Other (detail)	Americas					1.08	1.08	11.83
Q05.1a	How administrative records are currently used	R09	Other (detail)	Asia							25.81
Q05.1a	How administrative records are currently used	R09	Other (detail)	Europe				1.08			36.56
Q05.1a	How administrative records are currently used	R09	Other (detail)	Oceania			1.08				3.23
