QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	0	Europe	29	31.18
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	1	Africa	11	11.83
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	0	Americas	7	7.53
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	0	Oceania	4	4.3
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	1	Asia	12	12.9
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	1	Europe	6	6.45
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	0	Africa	6	6.45
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	1	Americas	6	6.45
Q05.3	Quality management framework(s) currently applied by the NSO	R01	General Data Dissemination System	0	Asia	12	12.9
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	1	Europe	7	7.53
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	0	Africa	6	6.45
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	0	Americas	4	4.3
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	1	Oceania	1	1.08
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	0	Europe	28	30.11
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	0	Asia	9	9.68
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	1	Africa	11	11.83
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	1	Asia	15	16.13
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	1	Americas	9	9.68
Q05.3	Quality management framework(s) currently applied by the NSO	R02	Data Quality Assessment Framework	0	Oceania	3	3.23
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	1	Europe	30	32.26
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	0	Africa	16	17.2
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	0	Americas	11	11.83
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	0	Oceania	4	4.3
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	0	Europe	5	5.38
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	0	Asia	17	18.28
Q05.3	Quality management framework(s) currently applied by the NSO	R03	European Statistical System Quality Assurance Framework	1	Americas	2	2.15
