QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Procedures for transmission of protected information, breach protocol	We do not have a Confidentiality Policy but we have a Statistical Act 2015 that has the confidentiality clause	NA
Q06.2	Aspects considered in the confidentiality policy of the NSO	R01	Confidentiality agreement for staff, including penalties	Africa	2.15	16.13			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R01	Confidentiality agreement for staff, including penalties	Americas		13.98			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R01	Confidentiality agreement for staff, including penalties	Asia	5.38	20.43			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R01	Confidentiality agreement for staff, including penalties	Europe	3.23	34.41			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R01	Confidentiality agreement for staff, including penalties	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R02	Procedures for granting access to microdata	Africa	7.53	10.75			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R02	Procedures for granting access to microdata	Americas	2.15	11.83			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R02	Procedures for granting access to microdata	Asia	4.3	21.51			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R02	Procedures for granting access to microdata	Europe	4.3	33.33			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R02	Procedures for granting access to microdata	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R03	Contracts with non-staff who access microdata, including penalties	Africa	11.83	6.45			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R03	Contracts with non-staff who access microdata, including penalties	Americas	5.38	8.6			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R03	Contracts with non-staff who access microdata, including penalties	Asia	11.83	13.98			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R03	Contracts with non-staff who access microdata, including penalties	Europe	6.45	31.18			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R03	Contracts with non-staff who access microdata, including penalties	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R04	Procedures for storing and destroying individual records	Africa	11.83	6.45			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R04	Procedures for storing and destroying individual records	Americas	5.38	8.6			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R04	Procedures for storing and destroying individual records	Asia	8.6	17.2			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R04	Procedures for storing and destroying individual records	Europe	5.38	32.26			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R04	Procedures for storing and destroying individual records	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R05	Checks before releasing micro-data	Africa	11.83	6.45			
