QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Anonymizing microdata released for public use	Each agency has specific legislation regarding safeguarding the confidentially of their data.  For example, for Census Bureau it is Title 13.	Establishment of a Statistical Confidentiality Committee in ELSTAT.	Masking methods	Procedures implemented for creation of scientific and public use files (survey databases).	The confidentiality provision of the federal statistical legislation governing the NSO includes restricting access to identifying information to persons employed or deemed to be employed, and who have sworn the oath of office, and prohibits disclosure by these persons of information in a manner that it is possible to relate the information to any identifiable person, business or organization.	NA
Q06.3	Practices being implemented to anonymize statistical data	R01	Removing individual names of persons or enterprises in databases	Africa	2.15	16.13							
Q06.3	Practices being implemented to anonymize statistical data	R01	Removing individual names of persons or enterprises in databases	Americas	1.08	12.9							
Q06.3	Practices being implemented to anonymize statistical data	R01	Removing individual names of persons or enterprises in databases	Asia	2.15	23.66							
Q06.3	Practices being implemented to anonymize statistical data	R01	Removing individual names of persons or enterprises in databases	Europe	3.23	34.41							
Q06.3	Practices being implemented to anonymize statistical data	R01	Removing individual names of persons or enterprises in databases	Oceania		4.3							
Q06.3	Practices being implemented to anonymize statistical data	R02	Suppression of information that allows for re-identification of respondents	Africa	2.15	16.13							
Q06.3	Practices being implemented to anonymize statistical data	R02	Suppression of information that allows for re-identification of respondents	Americas	1.08	12.9							
Q06.3	Practices being implemented to anonymize statistical data	R02	Suppression of information that allows for re-identification of respondents	Asia	6.45	19.35							
Q06.3	Practices being implemented to anonymize statistical data	R02	Suppression of information that allows for re-identification of respondents	Europe	4.3	33.33							
Q06.3	Practices being implemented to anonymize statistical data	R02	Suppression of information that allows for re-identification of respondents	Oceania	2.15	2.15							
Q06.3	Practices being implemented to anonymize statistical data	R03	Applying confidentiality checks with specialized software	Africa	11.83	6.45							
Q06.3	Practices being implemented to anonymize statistical data	R03	Applying confidentiality checks with specialized software	Americas	5.38	8.6							
Q06.3	Practices being implemented to anonymize statistical data	R03	Applying confidentiality checks with specialized software	Asia	11.83	13.98							
Q06.3	Practices being implemented to anonymize statistical data	R03	Applying confidentiality checks with specialized software	Europe	11.83	25.81							
Q06.3	Practices being implemented to anonymize statistical data	R03	Applying confidentiality checks with specialized software	Oceania	2.15	2.15							
Q06.3	Practices being implemented to anonymize statistical data	R04	Manually checking data prepared for dissemination	Africa	8.6	9.68							
Q06.3	Practices being implemented to anonymize statistical data	R04	Manually checking data prepared for dissemination	Americas	5.38	8.6							
Q06.3	Practices being implemented to anonymize statistical data	R04	Manually checking data prepared for dissemination	Asia	8.6	17.2							
Q06.3	Practices being implemented to anonymize statistical data	R04	Manually checking data prepared for dissemination	Europe	8.6	29.03							
Q06.3	Practices being implemented to anonymize statistical data	R04	Manually checking data prepared for dissemination	Oceania	1.08	3.23							
Q06.3	Practices being implemented to anonymize statistical data	R05	Having specific authorities scrutinize applications for accessing confidential data	Africa	18.28								
Q06.3	Practices being implemented to anonymize statistical data	R05	Having specific authorities scrutinize applications for accessing confidential data	Americas	11.83	2.15							
Q06.3	Practices being implemented to anonymize statistical data	R05	Having specific authorities scrutinize applications for accessing confidential data	Asia	17.2	8.6							
Q06.3	Practices being implemented to anonymize statistical data	R05	Having specific authorities scrutinize applications for accessing confidential data	Europe	21.51	16.13							
Q06.3	Practices being implemented to anonymize statistical data	R05	Having specific authorities scrutinize applications for accessing confidential data	Oceania	3.23	1.08							
Q06.3	Practices being implemented to anonymize statistical data	R06	Anonymizing microdata released for research purposes	Africa	7.53	10.75							
Q06.3	Practices being implemented to anonymize statistical data	R06	Anonymizing microdata released for research purposes	Americas	1.08	12.9							
Q06.3	Practices being implemented to anonymize statistical data	R06	Anonymizing microdata released for research purposes	Asia	9.68	16.13							
Q06.3	Practices being implemented to anonymize statistical data	R06	Anonymizing microdata released for research purposes	Europe	3.23	34.41							
Q06.3	Practices being implemented to anonymize statistical data	R06	Anonymizing microdata released for research purposes	Oceania	2.15	2.15							
Q06.3	Practices being implemented to anonymize statistical data	R07	Other	Africa	18.28								
Q06.3	Practices being implemented to anonymize statistical data	R07	Other	Americas	11.83	2.15							
Q06.3	Practices being implemented to anonymize statistical data	R07	Other	Asia	25.81								
Q06.3	Practices being implemented to anonymize statistical data	R07	Other	Europe	33.33	4.3							
Q06.3	Practices being implemented to anonymize statistical data	R07	Other	Oceania	4.3								
Q06.3	Practices being implemented to anonymize statistical data	R08	None Of The Above	Africa	18.28								
Q06.3	Practices being implemented to anonymize statistical data	R08	None Of The Above	Americas	13.98								
Q06.3	Practices being implemented to anonymize statistical data	R08	None Of The Above	Asia	24.73	1.08							
Q06.3	Practices being implemented to anonymize statistical data	R08	None Of The Above	Europe	36.56	1.08							
Q06.3	Practices being implemented to anonymize statistical data	R08	None Of The Above	Oceania	4.3								
Q06.3	Practices being implemented to anonymize statistical data	R09	Other (detail)	Africa									18.28
Q06.3	Practices being implemented to anonymize statistical data	R09	Other (detail)	Americas				1.08				1.08	11.83
Q06.3	Practices being implemented to anonymize statistical data	R09	Other (detail)	Asia									25.81
Q06.3	Practices being implemented to anonymize statistical data	R09	Other (detail)	Europe			1.08		1.08	1.08	1.08		33.33
Q06.3	Practices being implemented to anonymize statistical data	R09	Other (detail)	Oceania									4.3
