QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	If so required for statistical purposes by an international legal act with direct national effect or by federal law or unless the data subject has expressly and unequivocally agreed to such transmission.	In compliance with the legislation, without the written consent of the respondent, primary statistical data may be provided in relation to subordinated (affiliated) state organizations, as well as organizations whose shares (shares in the statutory capital) are state-owned and transferred to them for management.	In general not, but some data exchange on identifiable level to other Nordic NSOs given that the countries legal provisions are as strong as in Norway	Individual data must not be made public, only with the exceptions provided by the Act No CLV of 2016 on official statistics, Art. 20 39(3)	Statistics Canada may disclose individual information with permission from the authority responsible for original collection of the information from individuals and businesses. In addition to consent, the Chief Statistician must also have authorized the disclosure.	These answers are all related to enterprises but do not refer to individuals/individual households. The relations with supra national organisations (Eurostat) only based on European legal act.	We never provide information to third parties.	When exchanging data for statistical purposes with other national statistical authorities of the Member States in the EU under multilateral agreement where this is necessary for development and production of European statistical information; When exchanging data with the Bulgarian National Bank in developing, producing and disseminating official national or European statistical information or the statistical information of the European Central Bank	specific rules are provided for in European Union Law	NA
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R01	When the individual /enterprise consented	Africa	10.75	7.53										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R01	When the individual /enterprise consented	Americas	7.53	6.45										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R01	When the individual /enterprise consented	Asia	19.35	6.45										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R01	When the individual /enterprise consented	Europe	15.05	22.58										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R01	When the individual /enterprise consented	Oceania		4.3										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R02	When a court of law issues a request	Africa	13.98	4.3										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R02	When a court of law issues a request	Americas	12.9	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R02	When a court of law issues a request	Asia	21.51	4.3										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R02	When a court of law issues a request	Europe	33.33	4.3										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R02	When a court of law issues a request	Oceania	2.15	2.15										
