QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Australian Institute for Health and Welfare (AIHW) which is a statutory body	Other ELSS agencies (National Documentation Centre, Hellenic Telecommunications and Post Commission)	Please, see: https://statistiques.public.lu/en/actors/statec/legalbasis/LawSTATEC.pdf. Statec's law covers the missions of the Committee on Public Statistics which is made up of representatives of administrations, ministries and observatories active in holding, producing and disseminating statistics.	State institutions, which provide official statistics	Statistical services under line ministries which are gazetted under the Statistics Act	The informants	NA
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R01	Statistical offices at the sub-national level (region, province, etc.)	Africa	9.68	8.6							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R01	Statistical offices at the sub-national level (region, province, etc.)	Americas	9.68	4.3							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R01	Statistical offices at the sub-national level (region, province, etc.)	Asia	11.83	13.98							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R01	Statistical offices at the sub-national level (region, province, etc.)	Europe	25.81	11.83							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R01	Statistical offices at the sub-national level (region, province, etc.)	Oceania	3.23	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R02	Statistical services in line ministries	Africa	4.3	13.98							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R02	Statistical services in line ministries	Americas	9.68	4.3							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R02	Statistical services in line ministries	Asia	11.83	13.98							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R02	Statistical services in line ministries	Europe	20.43	17.2							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R02	Statistical services in line ministries	Oceania	2.15	2.15							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R03	Statistical services in the Central Bank	Africa	6.45	11.83							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R03	Statistical services in the Central Bank	Americas	10.75	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R03	Statistical services in the Central Bank	Asia	15.05	10.75							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R03	Statistical services in the Central Bank	Europe	19.35	18.28							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R03	Statistical services in the Central Bank	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R04	Custodians of administrative data	Africa	10.75	7.53							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R04	Custodians of administrative data	Americas	10.75	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R04	Custodians of administrative data	Asia	12.9	12.9							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R04	Custodians of administrative data	Europe	22.58	15.05							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R04	Custodians of administrative data	Oceania	2.15	2.15							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R05	Chambers of commerce or other business networks	Africa	15.05	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R05	Chambers of commerce or other business networks	Americas	12.9	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R05	Chambers of commerce or other business networks	Asia	20.43	5.38							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R05	Chambers of commerce or other business networks	Europe	36.56	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R05	Chambers of commerce or other business networks	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R06	Trade unions	Africa	15.05	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R06	Trade unions	Americas	13.98								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R06	Trade unions	Asia	21.51	4.3							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R06	Trade unions	Europe	37.63								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R06	Trade unions	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R07	Statistical research and training centres 	Africa	10.75	7.53							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R07	Statistical research and training centres 	Americas	10.75	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R07	Statistical research and training centres 	Asia	18.28	7.53							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R07	Statistical research and training centres 	Europe	36.56	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R07	Statistical research and training centres 	Oceania	3.23	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R08	Private institutions	Africa	11.83	6.45							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R08	Private institutions	Americas	12.9	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R08	Private institutions	Asia	20.43	5.38							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R08	Private institutions	Europe	36.56	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R08	Private institutions	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R09	Supra-national bodies (e.g. Eurostat)	Africa	17.2	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R09	Supra-national bodies (e.g. Eurostat)	Americas	13.98								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R09	Supra-national bodies (e.g. Eurostat)	Asia	24.73	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R09	Supra-national bodies (e.g. Eurostat)	Europe	36.56	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R09	Supra-national bodies (e.g. Eurostat)	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R10	Other	Africa	18.28								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R10	Other	Americas	12.9	1.08							
