QuestionID	QuestionText	BlockID	BlockText	Answer	Africa.N	Americas.N	Asia.N	Europe.N	Oceania.N	TOTAL.N	Africa.P	Americas.P	Asia.P	Europe.P	Oceania.P	TOTAL.P
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		According to the type of survey	3	2	5	15		25	17.6470588235294	15.3846153846154	20.8333333333333	42.8571428571429		26.8817204301075
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		According to whether it belongs to the core set of statistical enquiries	2		1		1	4	11.7647058823529		4.16666666666667		25	4.3010752688172
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		Ad-hoc		1		3		4		7.69230769230769		8.57142857142857		4.3010752688172
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		All surveys are mandatory	11	7	7	8	1	34	64.7058823529412	53.8461538461538	29.1666666666667	22.8571428571429	25	36.5591397849462
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		By persuasion, re-contacts.	1					1	5.88235294117647					1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		If the data quality of a voluntary survey is probably insufficient, it will be classified as mandatory for being abke to collect high quality data				1		1				2.85714285714286		1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		None of the above		1	1	2		4		7.69230769230769	4.16666666666667	5.71428571428571		4.3010752688172
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		Sanctions apply only for surveys that are mandatory. Specific criteria for mandatory surveys is set out in policy, and include factors such as where the survey results meet specific requirements of other federal and provincial statutes and regulations, or the results may affect domestic and international financial and commodity markets.		1				1		7.69230769230769				1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		The households, individuals and in some cases farms are not obliged to participate in the statistical surveys. All business surveys are mandatory.				1		1				2.85714285714286		1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		The surveys conducted under Statistics Act			1			1			4.16666666666667			1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		When conducting the surveys, according to the programme of statistical work, the respondents shall be obliged: a) to provide producers of official statistics, free of charge, with reliable and complete data in the manner established by the producer of official statistics concerned; b) to ensure free access for the representatives of producers of official statistics to the supporting documents and, where necessary, to the office and production premises and to the land, according to the legal provisions				1		1				2.85714285714286		1.0752688172043
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	R01		the list of surveys with mandatory response as well as the list of surveys where non-response is sanctioned are approved, according to the national statistical law, with a Decree by the President of the Italian Republic which is the same decree that approves the National Statistical Programme				1		1				2.85714285714286		1.0752688172043
