QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	By following up with non-responders	By sending statistics back to the respondens where they can see where they are positioned in relation to the statistical result is done in a few cases	HBS uses a reward practice for respondents providing detailed answers according the agenda.	In some statistical surveys targeted at households incentives are given to the respondents	Incentives (promotional items) to respondents	Incentives for participation (entry into national raffles); training survey staff in how to encourage participation by reluctant respondents	Mandatory to respond for surveys conducted under the Statistics Act	National Statistics Day on 20 October	The Census Bureau makes plant visits to talk to non-respondants for certain surveys, like M3.	The respondent's calendar is posted on Belstat's official website, as well as a schedule of primary data collection in electronic form that contains information on the start date and the deadline for statistical reports collection for each statistical survey for each reporting period; The online report collection provides the possibility for respondent to view an individual list of required reporting forms.	sending paper reminders, telephone reminders, visiting companies	social media and announcement in public places	NA
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R01	By launching awareness campaigns prior to censuses or large surveys	Africa		18.28													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R01	By launching awareness campaigns prior to censuses or large surveys	Americas	2.15	11.83													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R01	By launching awareness campaigns prior to censuses or large surveys	Asia	2.15	23.66													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R01	By launching awareness campaigns prior to censuses or large surveys	Europe	7.53	30.11													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R01	By launching awareness campaigns prior to censuses or large surveys	Oceania	1.08	3.23													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R02	By sending pre-announcement letters	Africa	5.38	12.9													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R02	By sending pre-announcement letters	Americas	3.23	10.75													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R02	By sending pre-announcement letters	Asia	6.45	19.35													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R02	By sending pre-announcement letters	Europe	2.15	35.48													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R02	By sending pre-announcement letters	Oceania	1.08	3.23													
